num_tokens,n,mean_dbeta_better_return,mean_dbeta_safer_risk,mean_dbeta_max_sharpe,mean_dbeta_equal_weight,mean_dbeta_mcap_weight
2,142905154,-0.018086184475103923,-1.1034717014442228e-07,-0.027714596177807655,-0.025119561604194197,-0.07132999912990277
3,43006019,-0.02482661326776477,-0.061228678577074085,-0.030184227156433804,-0.0319537459683748,-0.11392349386969473
4,19026362,-0.04353151145767211,-0.11213389941750689,-0.03516825875693542,-0.03495703581464086,-0.1424277117734304
5,10302397,-0.0624013865241558,-0.15439982806037275,-0.04087390444904023,-0.041469946588046626,-0.16409393261101532
6,6070987,-0.07753651409867264,-0.19046736043017726,-0.043493438703860764,-0.04307505232312029,-0.1853308336795007
7,3825162,-0.09253167871343786,-0.2219785482631377,-0.0427442674879369,-0.042791810004009626,-0.20736912562166995
8,2604952,-0.10732200069344967,-0.2472313819667282,-0.04645972309680772,-0.04305855046400301,-0.2138133254644537
9,1808871,-0.12051037427423565,-0.27476801506049886,-0.047802350555827294,-0.0477963876393957,-0.23040011176883696
10,1302244,-0.1294835196828696,-0.29592877581292226,-0.0442595346705047,-0.04735493310875314,-0.23840329883045094
11,967853,-0.13915957782585595,-0.31372442144325097,-0.04532061548080083,-0.04757554580171322,-0.24651830386775486
12,735110,-0.14912330629703857,-0.3335689352830934,-0.050231163157245545,-0.05028689145822221,-0.25453887947860826
13,574403,-0.15645506091506778,-0.3479584082380322,-0.05092938942811893,-0.05141350211073781,-0.25672558962753417
14,442999,-0.16536209867426757,-0.3636970093876906,-0.0535385017590318,-0.05146721880908489,-0.26191481026168023
15,356015,-0.16979570145275355,-0.37609702827834773,-0.05833542222405907,-0.05176480918292015,-0.2675174824411739
16,284416,-0.1734828648639321,-0.38841818048230875,-0.052616546451393686,-0.04823107585490582,-0.2688635248368941
17,233659,-0.18068221372869545,-0.4000560096522553,-0.05880768817119486,-0.05103888074054763,-0.275592171117761
18,192497,-0.18273737325931172,-0.41024047474013553,-0.06339888181918808,-0.051667083861221055,-0.2730032201497104
19,162394,-0.18927227856569612,-0.4177503401567809,-0.06538683540800212,-0.05313410782489513,-0.27196280780163395
20,149332,-0.19613136856551433,-0.4388505066755119,-0.07144930683970045,-0.06122752203387078,-0.28430912846046963
21,113391,-0.1991072015837821,-0.43056446477902766,-0.07195878381559215,-0.0502935255857514,-0.27323668406666785
22,96479,-0.20474270004181838,-0.44130760561723004,-0.074977839667672,-0.049627769039971605,-0.27347635491496963
23,82383,-0.20862091275509692,-0.44957135249647234,-0.0770708827826417,-0.05375230338419847,-0.2795888891105552
24,69429,-0.2140461348656392,-0.4589258973022399,-0.08304064289242624,-0.05695731075019965,-0.27730718259294057
25,59908,-0.2131342322011916,-0.4623555939121939,-0.09115796218838325,-0.05414201120085696,-0.2767158874959401
26,52058,-0.2219804688451726,-0.4699571186407656,-0.08543965247281005,-0.05517439224622048,-0.2739545798534904
27,44960,-0.21042991508678224,-0.46965631411979625,-0.08627830662151623,-0.044657136102707176,-0.28026850954583826
28,39472,-0.21787374026907907,-0.4771445239812546,-0.09279027330846107,-0.051405749036797926,-0.291027865037309
29,33787,-0.22398075958523153,-0.48330382722608073,-0.09246238868944451,-0.05113790394757839,-0.278032585877848
30,30719,-0.22381436282180117,-0.49352298176122705,-0.10562516046433384,-0.0499113428456376,-0.2888111564378508
