block_number,block_date,n_wallets,mean_dbeta_better_return,mean_dbeta_safer_risk,mean_dbeta_max_sharpe,mean_dbeta_equal_weight,mean_dbeta_mcap_weight
9193266,2020-01-01,826497,-0.06053971984080746,-0.008247385772000878,0.0003472656766461648,-0.04025666644729016,-0.015964836850837782
9393154,2020-02-01,914540,-0.007934116323653009,-0.00865283009380423,0.03792945396756208,-0.008670116485971342,0.005942735883427185
9581792,2020-03-01,926317,0.005995421329420819,-0.0017980395824182273,0.047323154346163104,0.02084653292174491,0.035389276909931204
9782602,2020-04-01,941259,0.10681905392188468,-0.009739331278854943,0.08168865654105062,0.03434233560379473,0.08433253787854848
9976964,2020-05-01,1006999,0.09554823977137405,-0.009958181776600109,0.08967818060048723,0.031079768884699814,0.07199033845839334
10176690,2020-06-01,1021033,0.03806889594158967,0.003704841047581044,0.047409895704083986,0.0005225504654368082,0.06339044781260414
10370274,2020-07-01,1044729,-0.010234314180752118,-0.004659858326375114,0.02600329026030452,-0.002696875171241194,0.039476710279763884
10570485,2020-08-01,1071168,-0.008528891184470713,-0.00010955971919628373,0.10245547099461436,-0.035868986502622144,0.058184134080338845
10771925,2020-09-01,1094957,0.04058304645142228,-0.01506899896702977,-0.0109511372802855,-0.10350276477982875,-0.05986535271831217
10966874,2020-10-01,1121306,0.003038751546607318,-0.038166488027354964,0.051779629845901946,-0.03352826805118455,-0.017360404200018015
11167817,2020-11-01,1233035,0.03474356964358673,-0.037080619385881884,-0.032913153418214706,0.004810075432829703,-0.014645859703121126
11363270,2020-12-01,1312844,-0.06128339989983436,-0.03218987519669329,-0.04204970647904078,-0.02132090129706863,-0.07398737318213516
11565019,2021-01-01,1344924,0.02440601082418983,-0.02493542247191447,0.06018980269721478,-0.0073921366801734745,-0.032832891822850714
11766939,2021-02-01,1421979,-0.00600505758201441,-0.01657070510441442,0.03956265727869189,-0.05660879036441106,-0.05954202961373284
11948960,2021-03-01,1578989,0.010883794140316538,-0.009151259648217343,0.05215164872135009,-0.034858132722297965,-0.06082978764069664
12150245,2021-04-01,1695563,0.004038747521496907,-0.016208965354954835,0.05890006148710576,-0.03829857305616866,-0.0619032607332012
12344945,2021-05-01,1822425,-0.012239710628055334,-0.02769637196739453,0.04809574284507369,-0.05959777376307153,-0.07695589410755006
12545219,2021-06-01,1944649,-0.013240109836334453,-0.05166177120817157,-0.01928705961889912,-0.021939680873351332,-0.10293203301274355
12738509,2021-07-01,2077642,0.0020783328720144676,-0.05014387914001397,-0.12028987254533635,-0.015757196965567728,-0.11709838524063722
12936340,2021-08-01,2186002,-0.017936405382429237,-0.05562933569355499,-0.07171284631395895,-0.030997172121797464,-0.10956561022094476
13136427,2021-09-01,2286203,0.22935040072956062,-0.016695235800486628,-0.17854554170879233,0.09094632634862405,-0.28415999572139344
13330090,2021-10-01,2385506,0.15773203454513973,0.008124715722384978,-0.047202326411135385,0.12432239551825743,-0.2632476292604407
13527859,2021-11-01,2504425,-0.03368297094819919,-0.019586430748165073,-0.002104995340985396,0.015382898035819291,-0.16083036343426496
