strategy,beta_bin,count
baseline,-1.0,26586
baseline,-0.95,89376
baseline,-0.9,87858
baseline,-0.85,36963
baseline,-0.8,96724
baseline,-0.75,52773
baseline,-0.7,55321
baseline,-0.65,52326
baseline,-0.6,114239
baseline,-0.55,61203
baseline,-0.5,77061
baseline,-0.45,127309
baseline,-0.4,86550
baseline,-0.35,119793
baseline,-0.3,206893
baseline,-0.25,185838
baseline,-0.2,210437
baseline,-0.15,330983
baseline,-0.1,559237
baseline,-0.05,4204341
baseline,0.0,10598520
baseline,0.05,5241053
baseline,0.1,7683592
baseline,0.15,4285218
baseline,0.2,2910036
baseline,0.25,2623082
baseline,0.3,2699084
baseline,0.35,2843319
baseline,0.4,2955048
baseline,0.45,3529093
baseline,0.5,3740713
baseline,0.55,4159295
baseline,0.6,4568374
baseline,0.65,5516433
baseline,0.7,6643552
baseline,0.75,7021508
baseline,0.8,7909702
baseline,0.85,9040131
baseline,0.9,9125650
baseline,0.95,9664892
baseline,1.0,10757907
baseline,1.05,10184606
baseline,1.1,10445888
baseline,1.15,10300108
baseline,1.2,9463185
baseline,1.25,8958700
baseline,1.3,8367843
baseline,1.35,7008571
baseline,1.4,6179914
baseline,1.45,5334403
baseline,1.5,5063166
baseline,1.55,4023676
baseline,1.6,3214115
baseline,1.65,2473298
baseline,1.7,2204761
baseline,1.75,1756740
baseline,1.8,1489045
baseline,1.85,1737160
baseline,1.9,1228287
baseline,1.95,836157
baseline,2.0,679441
baseline,2.05,590394
baseline,2.1,531533
baseline,2.15,423968
baseline,2.2,350245
baseline,2.25,289478
baseline,2.3,259223
baseline,2.35,193931
baseline,2.4,149315
baseline,2.45,127402
baseline,2.5,109975
baseline,2.55,93760
baseline,2.6,83138
baseline,2.65,77650
baseline,2.7,64802
baseline,2.75,67667
baseline,2.8,116943
baseline,2.85,45988
baseline,2.9,39813
baseline,2.95,35535
baseline,3.0,30665
baseline,3.05,30462
baseline,3.1,26210
baseline,3.15,26604
baseline,3.2,20127
baseline,3.25,17217
baseline,3.3,17497
baseline,3.35,13395
baseline,3.4,12579
baseline,3.45,11686
baseline,3.5,12495
baseline,3.55,9681
baseline,3.6,67689
baseline,3.65,8309
baseline,3.7,6334
baseline,3.75,5868
baseline,3.8,5610
baseline,3.85,5929
baseline,3.9,5257
baseline,3.95,7451
baseline,4.0,5704
baseline,4.05,3796
baseline,4.1,5104
baseline,4.15,3075
baseline,4.2,3449
baseline,4.25,4035
baseline,4.3,3230
baseline,4.35,2527
baseline,4.4,1998
baseline,4.45,2483
baseline,4.5,1938
baseline,4.55,2632
baseline,4.6,2078
baseline,4.65,1601
baseline,4.7,1743
baseline,4.75,1351
baseline,4.8,1422
baseline,4.85,1287
baseline,4.9,1509
baseline,4.95,854
better_return,-1.0,32320
better_return,-0.95,93677
better_return,-0.9,98316
better_return,-0.85,45851
better_return,-0.8,108937
better_return,-0.75,60722
better_return,-0.7,70475
better_return,-0.65,75429
better_return,-0.6,132723
better_return,-0.55,87230
better_return,-0.5,96050
better_return,-0.45,163562
better_return,-0.4,116092
better_return,-0.35,159624
better_return,-0.3,250168
better_return,-0.25,244162
better_return,-0.2,279480
better_return,-0.15,382748
better_return,-0.1,530222
better_return,-0.05,3884590
better_return,0.0,10138357
better_return,0.05,4517663
