pair,bin,mean_l1_pct,mean_alpha,median_alpha,n
l1_better_return_vs_alpha_baseline,1,4.779907285955773e-15,124989.61475250465,-0.02521580341388236,11793401
l1_better_return_vs_alpha_baseline,2,5.918919290920775e-12,0.13558397283790477,-0.03234651749936714,11793401
l1_better_return_vs_alpha_baseline,3,2.53166153552192e-10,0.12552778329677572,-0.01752667320666034,11793401
l1_better_return_vs_alpha_baseline,4,3.34506033348699e-09,0.02564229324566195,-0.022864805508902658,11793401
l1_better_return_vs_alpha_baseline,5,1.809808790787633e-08,9.804254556859965,-0.02697750802134785,11793401
l1_better_return_vs_alpha_baseline,6,1.1568257817661952e-07,0.02364188633717775,-0.016023311197631528,11793401
l1_better_return_vs_alpha_baseline,7,1.5554995178479283e-06,0.01959644723320835,-0.006028272332206389,11793401
l1_better_return_vs_alpha_baseline,8,0.049014909861947335,8056.331089924529,-0.0007559217092095714,11793400
l1_better_return_vs_alpha_baseline,9,3.4224869130996325,0.478479799763073,-0.012250145879736423,11793400
l1_better_return_vs_alpha_baseline,10,9.520962435698268,0.03228233155156365,-0.01394336508815054,11793400
l1_better_return_vs_alpha_baseline,11,15.779134414416736,0.02472580235863576,-0.01719990548535806,11793400
l1_better_return_vs_alpha_baseline,12,23.035779268517388,0.011119187798121495,-0.023278102597924323,11793400
l1_better_return_vs_alpha_baseline,13,31.125818758233965,0.017096901086852596,-0.017217656568058584,11793400
l1_better_return_vs_alpha_baseline,14,40.01297621638324,56530181.759224914,-0.017326429491502704,11793400
l1_better_return_vs_alpha_baseline,15,49.204676902921776,5.460577514281514,-0.01854145637605902,11793400
l1_better_return_vs_alpha_baseline,16,58.901682968854274,0.031234205675191563,-0.03257483731331116,11793400
l1_better_return_vs_alpha_baseline,17,68.49466907219956,0.009436733378089316,-0.0365572754177991,11793400
l1_better_return_vs_alpha_baseline,18,77.45165375552928,0.1908134187946456,-0.03180415884687282,11793400
l1_better_return_vs_alpha_baseline,19,81.10490813569128,11.785800223943218,-0.025965448397499584,11793400
l1_better_return_vs_alpha_baseline,20,92.74689941786534,0.37003549818509657,-0.03712875645302027,11793400
l1_safer_risk_vs_alpha_baseline,1,1.6982133753910072e-15,56663223.945677035,-0.006342622983093087,11793401
l1_safer_risk_vs_alpha_baseline,2,5.290090315079027e-12,10.343023492879686,-0.020900002963937722,11793401
l1_safer_risk_vs_alpha_baseline,3,3.046931571223371e-09,0.028296447176135945,-0.007200072937742316,11793401
l1_safer_risk_vs_alpha_baseline,4,1.1710457497544672e-08,0.04701127450305819,-0.016077201889263287,11793401
l1_safer_risk_vs_alpha_baseline,5,2.2694663983091106e-08,0.03925594541740513,-0.013198616772062627,11793401
l1_safer_risk_vs_alpha_baseline,6,3.492290886975921e-08,9.710935807516494,-0.012831160927749621,11793401
l1_safer_risk_vs_alpha_baseline,7,4.982806500321162e-08,0.024585569502656484,-0.019176569045234265,11793401
l1_safer_risk_vs_alpha_baseline,8,6.860542061979485e-08,0.09918063477530963,-0.016659166518459917,11793400
l1_safer_risk_vs_alpha_baseline,9,9.366881560780985e-08,0.06531510789271551,-0.010781294089660816,11793400
l1_safer_risk_vs_alpha_baseline,10,1.397518793600103e-07,0.04969968293309576,-0.011418527113335696,11793400
l1_safer_risk_vs_alpha_baseline,11,2.325293123932185e-07,0.06916235779233447,-0.006788431511518714,11793400
l1_safer_risk_vs_alpha_baseline,12,6.577738601805382e-07,0.0011512976602411399,-0.026621735904435995,11793400
l1_safer_risk_vs_alpha_baseline,13,0.550236070885813,0.5455423819741025,-0.013958535685559652,11793400
l1_safer_risk_vs_alpha_baseline,14,6.9255132517459845,0.020701303823919704,-0.020070363941317535,11793400
l1_safer_risk_vs_alpha_baseline,15,15.436494779927628,0.3679554200604471,-0.026680353023099734,11793400
l1_safer_risk_vs_alpha_baseline,16,24.942847897938417,5.464059203778947,-0.02744606730968896,11793400
l1_safer_risk_vs_alpha_baseline,17,35.28389068059068,0.015026273269770593,-0.0282564369106807,11793400
l1_safer_risk_vs_alpha_baseline,18,45.80790121383575,0.5729163291225418,-0.027185967744255118,11793400
l1_safer_risk_vs_alpha_baseline,19,58.34276541368831,0.03004954379236015,-0.038113849429435555,11793400
l1_safer_risk_vs_alpha_baseline,20,78.14616391475028,0.016411776707790784,-0.04389548816327782,11793400
l1_max_sharpe_vs_alpha_baseline,1,1.2095925987085962e-15,0.10033224896403695,-0.02037346468872056,11793401
l1_max_sharpe_vs_alpha_baseline,2,5.154130198794351e-15,9.630414742247993,-0.02089243696886385,11793401
l1_max_sharpe_vs_alpha_baseline,3,1.9507651042219195e-14,56530186.60649008,-0.005318984314506003,11793401
