,num_tokens,cnt,pct,cum_pct
0,2,88426615,92.06,92.06
1,3,6559344,6.83,98.89
2,4,824399,0.86,99.75
3,5,167567,0.17,99.92
4,6,47907,0.05,99.97
5,7,16506,0.02,99.99
6,8,7268,0.01,100.0
7,9,3498,0.0,100.0
8,10,1839,0.0,100.0
9,11,1051,0.0,100.0
10,12,631,0.0,100.0
11,13,426,0.0,100.0
12,14,280,0.0,100.0
13,15,162,0.0,100.0
14,16,171,0.0,100.0
15,17,95,0.0,100.0
16,18,78,0.0,100.0
17,19,62,0.0,100.0
18,20,45,0.0,100.0
19,21,19,0.0,100.0
20,22,29,0.0,100.0
21,23,25,0.0,100.0
22,24,8,0.0,100.0
23,25,12,0.0,100.0
24,26,7,0.0,100.0
25,27,7,0.0,100.0
26,28,5,0.0,100.0
27,29,7,0.0,100.0
28,30,3,0.0,100.0
29,31,4,0.0,100.0
30,32,2,0.0,100.0
31,33,4,0.0,100.0
32,34,4,0.0,100.0
33,35,4,0.0,100.0
34,36,2,0.0,100.0
35,37,7,0.0,100.0
36,39,1,0.0,100.0
37,40,4,0.0,100.0
38,41,2,0.0,100.0
39,43,2,0.0,100.0
40,45,2,0.0,100.0
41,48,4,0.0,100.0
42,60,1,0.0,100.0
43,71,1,0.0,100.0
44,78,1,0.0,100.0
45,91,2,0.0,100.0
