,num_tokens,cnt,pct,cum_pct
0,2,40816406,95.32,95.32
1,3,1766842,4.13,99.45
2,4,185521,0.43,99.88
3,5,35080,0.08,99.96
4,6,10100,0.02,99.98
5,7,3498,0.01,99.99
6,8,1493,0.0,99.99
7,9,750,0.0,99.99
8,10,426,0.0,99.99
9,11,237,0.0,99.99
10,12,129,0.0,99.99
11,13,100,0.0,99.99
12,14,34,0.0,99.99
13,15,22,0.0,99.99
14,16,30,0.0,99.99
15,17,11,0.0,99.99
16,18,11,0.0,99.99
17,19,13,0.0,99.99
18,20,8,0.0,99.99
19,21,3,0.0,99.99
20,22,3,0.0,99.99
21,23,9,0.0,99.99
22,24,2,0.0,99.99
23,25,3,0.0,99.99
24,26,1,0.0,99.99
25,27,2,0.0,99.99
26,28,2,0.0,99.99
27,29,1,0.0,99.99
28,31,1,0.0,99.99
29,32,2,0.0,99.99
30,36,3,0.0,99.99
31,37,1,0.0,99.99
32,48,1,0.0,99.99
