,num_tokens,cnt,pct,cum_pct
0,2,144157749,94.95,94.95
1,3,6872800,4.53,99.48
2,4,632592,0.42,99.9
3,5,108819,0.07,99.97
4,6,29266,0.02,99.99
5,7,9892,0.01,100.0
6,8,4270,0.0,100.0
7,9,2061,0.0,100.0
8,10,1102,0.0,100.0
9,11,601,0.0,100.0
10,12,345,0.0,100.0
11,13,236,0.0,100.0
12,14,145,0.0,100.0
13,15,120,0.0,100.0
14,16,110,0.0,100.0
15,17,62,0.0,100.0
16,18,33,0.0,100.0
17,19,42,0.0,100.0
18,20,20,0.0,100.0
19,21,14,0.0,100.0
20,22,22,0.0,100.0
21,23,14,0.0,100.0
22,24,8,0.0,100.0
23,25,8,0.0,100.0
24,26,4,0.0,100.0
25,27,4,0.0,100.0
26,28,7,0.0,100.0
27,29,1,0.0,100.0
28,30,1,0.0,100.0
29,31,4,0.0,100.0
30,32,2,0.0,100.0
31,34,2,0.0,100.0
32,36,1,0.0,100.0
33,37,2,0.0,100.0
34,40,2,0.0,100.0
35,41,1,0.0,100.0
36,42,2,0.0,100.0
37,43,1,0.0,100.0
38,45,2,0.0,100.0
39,48,1,0.0,100.0
40,72,1,0.0,100.0
41,91,2,0.0,100.0
