block_number,block_date,n_wallets,strategy,metric,quantile,value
9193266,2020-01-01,826497,baseline,alpha,0.01,-0.36845758250400407
9193266,2020-01-01,826497,baseline,alpha,0.05,-0.2375348053471421
9193266,2020-01-01,826497,baseline,alpha,0.1,-0.17032855717351392
9193266,2020-01-01,826497,baseline,alpha,0.25,-0.09346602220401262
9193266,2020-01-01,826497,baseline,alpha,0.5,0.023217027890443942
9193266,2020-01-01,826497,baseline,alpha,0.75,0.15018766495134955
9193266,2020-01-01,826497,baseline,alpha,0.9,0.15226140697327015
9193266,2020-01-01,826497,baseline,alpha,0.95,0.2582783113549302
9193266,2020-01-01,826497,baseline,alpha,0.99,0.41049643763388727
9193266,2020-01-01,826497,baseline,excess_return,0.01,-0.41529724582005095
9193266,2020-01-01,826497,baseline,excess_return,0.05,-0.28074752712436907
9193266,2020-01-01,826497,baseline,excess_return,0.1,-0.22823337218210263
9193266,2020-01-01,826497,baseline,excess_return,0.25,-0.11247188267963767
9193266,2020-01-01,826497,baseline,excess_return,0.5,0.0011866987450443178
9193266,2020-01-01,826497,baseline,excess_return,0.75,0.19645632855926345
9193266,2020-01-01,826497,baseline,excess_return,0.9,0.1982833309406853
9193266,2020-01-01,826497,baseline,excess_return,0.95,0.20463584143409344
9193266,2020-01-01,826497,baseline,excess_return,0.99,0.28460988861678393
9193266,2020-01-01,826497,better_return,alpha,0.01,-0.327831296092842
9193266,2020-01-01,826497,better_return,alpha,0.05,-0.21872637379729787
9193266,2020-01-01,826497,better_return,alpha,0.1,-0.1557343424555983
9193266,2020-01-01,826497,better_return,alpha,0.25,-0.08159443444355222
9193266,2020-01-01,826497,better_return,alpha,0.5,-0.0402856627799712
9193266,2020-01-01,826497,better_return,alpha,0.75,0.09125366494406426
9193266,2020-01-01,826497,better_return,alpha,0.9,0.12499293179034252
9193266,2020-01-01,826497,better_return,alpha,0.95,0.1991957754263627
9193266,2020-01-01,826497,better_return,alpha,0.99,0.48037612514249034
9193266,2020-01-01,826497,better_return,excess_return,0.01,-0.3785241231234161
9193266,2020-01-01,826497,better_return,excess_return,0.05,-0.25868524301426044
9193266,2020-01-01,826497,better_return,excess_return,0.1,-0.20864083819131035
9193266,2020-01-01,826497,better_return,excess_return,0.25,-0.11247188259227467
9193266,2020-01-01,826497,better_return,excess_return,0.5,-0.08141986988665781
9193266,2020-01-01,826497,better_return,excess_return,0.75,0.0747513691646319
9193266,2020-01-01,826497,better_return,excess_return,0.9,0.16765005966843197
9193266,2020-01-01,826497,better_return,excess_return,0.95,0.19377174582122839
9193266,2020-01-01,826497,better_return,excess_return,0.99,0.35128123322724586
9193266,2020-01-01,826497,equal_weight,alpha,0.01,-0.28048132529039005
9193266,2020-01-01,826497,equal_weight,alpha,0.05,-0.1791355986262455
9193266,2020-01-01,826497,equal_weight,alpha,0.1,-0.12402308406763395
9193266,2020-01-01,826497,equal_weight,alpha,0.25,-0.07327581965451643
9193266,2020-01-01,826497,equal_weight,alpha,0.5,0.023815940044473627
9193266,2020-01-01,826497,equal_weight,alpha,0.75,0.040515210037731786
9193266,2020-01-01,826497,equal_weight,alpha,0.9,0.09374839189062445
9193266,2020-01-01,826497,equal_weight,alpha,0.95,0.1587995524487027
9193266,2020-01-01,826497,equal_weight,alpha,0.99,0.47791057000690157
9193266,2020-01-01,826497,equal_weight,excess_return,0.01,-0.334047803535358
