block_number,date,optimisation,token_group,mean_dist,median_dist,std_dist,count
9193266,2020-01-01 00:00:00,better_return,11-20,70.98438735285865,72.45179564859774,20.829014613720577,4456
9193266,2020-01-01 00:00:00,better_return,2,37.88899869291383,29.608458385269984,36.7063021790347,608186
9193266,2020-01-01 00:00:00,better_return,21+,78.73232294389304,81.45949217406648,17.09555302734837,376
9193266,2020-01-01 00:00:00,better_return,3,41.43217521539871,41.55658292969823,30.194285710507568,145307
9193266,2020-01-01 00:00:00,better_return,4,50.908795579293,52.159431362452395,30.177366324929945,57318
9193266,2020-01-01 00:00:00,better_return,5,58.78232166972207,62.2543282812938,28.703484261376747,30548
9193266,2020-01-01 00:00:00,better_return,6-10,63.001754675053306,66.15032426370007,26.09511106841705,32838
9193266,2020-01-01 00:00:00,max_sharpe,11-20,86.77519828652919,89.9949931425781,15.309690992539435,4456
9193266,2020-01-01 00:00:00,max_sharpe,2,27.98576623233711,10.089330714310792,31.86033501870841,608186
9193266,2020-01-01 00:00:00,max_sharpe,21+,91.82848691379066,94.1905096462211,9.976367983487942,376
9193266,2020-01-01 00:00:00,max_sharpe,3,58.75519434287362,73.23910353036187,31.376893375851346,145307
9193266,2020-01-01 00:00:00,max_sharpe,4,69.85956239683492,82.28667120248164,27.710213767092572,57318
9193266,2020-01-01 00:00:00,max_sharpe,5,77.06738692952919,87.81581562270979,24.342649290435254,30548
9193266,2020-01-01 00:00:00,max_sharpe,6-10,81.22694000871387,89.18054071876688,21.50224606349561,32838
9193266,2020-01-01 00:00:00,safer_risk,11-20,56.46204482667923,57.169914738544655,14.721991638458778,4456
9193266,2020-01-01 00:00:00,safer_risk,2,0.00013719352587042568,1.1107731401338583e-08,0.0012107831331464667,608186
9193266,2020-01-01 00:00:00,safer_risk,21+,64.67261757089464,65.18585305316925,14.28037266044205,376
9193266,2020-01-01 00:00:00,safer_risk,3,21.539408480929556,17.199647351142406,18.221345258327826,145307
9193266,2020-01-01 00:00:00,safer_risk,4,33.07870387782642,31.895146563660056,19.720388829679443,57318
9193266,2020-01-01 00:00:00,safer_risk,5,39.32864827829239,39.506128011159106,18.371991248032508,30548
9193266,2020-01-01 00:00:00,safer_risk,6-10,45.94968804222789,45.881392823921416,17.38556217107465,32838
9393154,2020-02-01 00:00:00,better_return,11-20,63.2230015282354,63.012255692148145,21.07663407554866,4873
9393154,2020-02-01 00:00:00,better_return,2,34.34031172254028,13.573362615750698,35.4320307403388,633206
9393154,2020-02-01 00:00:00,better_return,21+,68.47297387855143,68.77187269709613,19.200166602885435,449
9393154,2020-02-01 00:00:00,better_return,3,39.756369322784856,37.67567247499214,29.74929280919046,149971
9393154,2020-02-01 00:00:00,better_return,4,48.96324619446444,48.97356982272916,28.977805190041366,59582
9393154,2020-02-01 00:00:00,better_return,5,56.01618605643708,58.213474137764166,27.31808720969427,31810
