block_number,date,vol_bin,ret_bin,n_wallets
9193266,2020-01-01,0.0,-2.0,1290
9193266,2020-01-01,0.0,0.0,2468
9193266,2020-01-01,2.0,-8.0,1
9193266,2020-01-01,2.0,-6.0,19
9193266,2020-01-01,2.0,-4.0,92
9193266,2020-01-01,2.0,-2.0,1028
9193266,2020-01-01,2.0,0.0,655
9193266,2020-01-01,2.0,2.0,1
9193266,2020-01-01,2.0,4.0,1
9193266,2020-01-01,4.0,-16.0,1
9193266,2020-01-01,4.0,-10.0,2
9193266,2020-01-01,4.0,-8.0,10
9193266,2020-01-01,4.0,-6.0,173
9193266,2020-01-01,4.0,-4.0,897
9193266,2020-01-01,4.0,-2.0,1043
9193266,2020-01-01,4.0,0.0,225
9193266,2020-01-01,4.0,2.0,4
9193266,2020-01-01,6.0,-26.0,1
9193266,2020-01-01,6.0,-16.0,2
9193266,2020-01-01,6.0,-12.0,9
9193266,2020-01-01,6.0,-10.0,87
9193266,2020-01-01,6.0,-8.0,199
9193266,2020-01-01,6.0,-6.0,340
9193266,2020-01-01,6.0,-4.0,1167
9193266,2020-01-01,6.0,-2.0,1206
9193266,2020-01-01,6.0,0.0,110
9193266,2020-01-01,6.0,4.0,1
9193266,2020-01-01,8.0,-30.0,2
9193266,2020-01-01,8.0,-20.0,3
9193266,2020-01-01,8.0,-18.0,1
9193266,2020-01-01,8.0,-16.0,2
9193266,2020-01-01,8.0,-14.0,24
9193266,2020-01-01,8.0,-12.0,117
9193266,2020-01-01,8.0,-10.0,253
9193266,2020-01-01,8.0,-8.0,178
9193266,2020-01-01,8.0,-6.0,114
9193266,2020-01-01,8.0,-4.0,401
9193266,2020-01-01,8.0,-2.0,628
9193266,2020-01-01,8.0,0.0,310
9193266,2020-01-01,8.0,4.0,4
9193266,2020-01-01,8.0,6.0,1
9193266,2020-01-01,10.0,-32.0,5
9193266,2020-01-01,10.0,-28.0,1
9193266,2020-01-01,10.0,-26.0,1
9193266,2020-01-01,10.0,-22.0,1
9193266,2020-01-01,10.0,-20.0,1
9193266,2020-01-01,10.0,-18.0,6
9193266,2020-01-01,10.0,-16.0,43
9193266,2020-01-01,10.0,-14.0,114
9193266,2020-01-01,10.0,-12.0,270
9193266,2020-01-01,10.0,-10.0,176
9193266,2020-01-01,10.0,-8.0,965
9193266,2020-01-01,10.0,-6.0,143
9193266,2020-01-01,10.0,-4.0,319
9193266,2020-01-01,10.0,-2.0,164
9193266,2020-01-01,10.0,0.0,65
9193266,2020-01-01,10.0,2.0,4
9193266,2020-01-01,10.0,4.0,3
9193266,2020-01-01,10.0,6.0,1
9193266,2020-01-01,10.0,12.0,1
9193266,2020-01-01,12.0,-40.0,1
9193266,2020-01-01,12.0,-36.0,1
9193266,2020-01-01,12.0,-34.0,3
9193266,2020-01-01,12.0,-32.0,3
9193266,2020-01-01,12.0,-30.0,4
9193266,2020-01-01,12.0,-28.0,2
9193266,2020-01-01,12.0,-26.0,5
9193266,2020-01-01,12.0,-24.0,5
9193266,2020-01-01,12.0,-22.0,7
