,feature,importance,target,R2_test,MAE_test
0,month,0.820424706919953,ret_baseline,0.5496,9.69
1,log_value_usd,0.17069594056995302,ret_baseline,0.5496,9.69
2,num_tokens,0.008879352510094,ret_baseline,0.5496,9.69
0,month,0.8709310153383693,ret_better_return,0.5146,10.03
1,log_value_usd,0.11875512746432292,ret_better_return,0.5146,10.03
2,num_tokens,0.010313857197307704,ret_better_return,0.5146,10.03
0,month,0.8327764378499262,ret_safer_risk,0.5577,9.23
1,log_value_usd,0.15846321022984594,ret_safer_risk,0.5577,9.23
2,num_tokens,0.008760351920227893,ret_safer_risk,0.5577,9.23
0,month,0.8684418105022591,ret_max_sharpe,0.4859,10.59
1,log_value_usd,0.12002580602519698,ret_max_sharpe,0.4859,10.59
2,num_tokens,0.011532383472543824,ret_max_sharpe,0.4859,10.59
0,month,0.88317838968664,ret_equal_weight,0.5809,8.84
1,log_value_usd,0.1038828743928545,ret_equal_weight,0.5809,8.84
2,num_tokens,0.012938735920505512,ret_equal_weight,0.5809,8.84
0,month,0.8275527536677265,ret_mcap_weight,0.523,9.14
1,log_value_usd,0.16369393339886332,ret_mcap_weight,0.523,9.14
2,num_tokens,0.008753312933410223,ret_mcap_weight,0.523,9.14
0,month,0.6582110690229623,alpha_baseline,0.3609,0.09
1,log_value_usd,0.3281711585384478,alpha_baseline,0.3609,0.09
2,num_tokens,0.0136177724385899,alpha_baseline,0.3609,0.09
0,month,0.7049452389606561,alpha_better_return,0.3223,0.1
1,log_value_usd,0.27445071589581965,alpha_better_return,0.3223,0.1
2,num_tokens,0.020604045143524225,alpha_better_return,0.3223,0.1
0,month,0.6737616397467651,alpha_safer_risk,0.368,0.09
1,log_value_usd,0.3055572612118561,alpha_safer_risk,0.368,0.09
2,num_tokens,0.02068109904137885,alpha_safer_risk,0.368,0.09
0,month,0.6932157917052166,alpha_max_sharpe,0.292,0.1
1,log_value_usd,0.2817099912268157,alpha_max_sharpe,0.292,0.1
2,num_tokens,0.02507421706796757,alpha_max_sharpe,0.292,0.1
0,month,0.7505765045638603,alpha_equal_weight,0.3877,0.09
1,log_value_usd,0.22829452027683297,alpha_equal_weight,0.3877,0.09
2,num_tokens,0.021128975159306746,alpha_equal_weight,0.3877,0.09
0,month,0.6702914509617391,alpha_mcap_weight,0.3521,0.08
1,log_value_usd,0.31368124106212786,alpha_mcap_weight,0.3521,0.08
2,num_tokens,0.016027307976132943,alpha_mcap_weight,0.3521,0.08
