,feature,importance,target,R2_test,MAE_test
0,month,0.697917606840541,ret_baseline,0.6476,7.61
3,beta_baseline,0.21630587712131819,ret_baseline,0.6476,7.61
1,log_value_usd,0.07877360035018516,ret_baseline,0.6476,7.61
4,holds_eth,0.0041636660236925955,ret_baseline,0.6476,7.61
2,num_tokens,0.0022380413015822675,ret_baseline,0.6476,7.61
5,holds_btc,0.0006012083626807863,ret_baseline,0.6476,7.61
0,month,0.7458360235123479,ret_better_return,0.6028,8.17
3,beta_baseline,0.1973887342633554,ret_better_return,0.6028,8.17
1,log_value_usd,0.04618686942176803,ret_better_return,0.6028,8.17
2,num_tokens,0.005836020864921969,ret_better_return,0.6028,8.17
4,holds_eth,0.004182824434022331,ret_better_return,0.6028,8.17
5,holds_btc,0.0005695275035843871,ret_better_return,0.6028,8.17
0,month,0.7138845762749849,ret_safer_risk,0.6478,7.4
3,beta_baseline,0.2035841251214403,ret_safer_risk,0.6478,7.4
1,log_value_usd,0.07172177959712328,ret_safer_risk,0.6478,7.4
2,num_tokens,0.0061476471209943985,ret_safer_risk,0.6478,7.4
4,holds_eth,0.00406349096105813,ret_safer_risk,0.6478,7.4
5,holds_btc,0.0005983809243990652,ret_safer_risk,0.6478,7.4
0,month,0.7636723371907453,ret_max_sharpe,0.5572,9.07
3,beta_baseline,0.15961344807123531,ret_max_sharpe,0.5572,9.07
1,log_value_usd,0.057541253486175066,ret_max_sharpe,0.5572,9.07
4,holds_eth,0.009707170626366899,ret_max_sharpe,0.5572,9.07
2,num_tokens,0.008253161003559143,ret_max_sharpe,0.5572,9.07
5,holds_btc,0.0012126296219182324,ret_max_sharpe,0.5572,9.07
0,month,0.7939396634454161,ret_equal_weight,0.6478,7.54
3,beta_baseline,0.14445542794299598,ret_equal_weight,0.6478,7.54
1,log_value_usd,0.05029183155347807,ret_equal_weight,0.6478,7.54
2,num_tokens,0.007190055084081076,ret_equal_weight,0.6478,7.54
4,holds_eth,0.0038214978263295435,ret_equal_weight,0.6478,7.54
5,holds_btc,0.00030152414769925865,ret_equal_weight,0.6478,7.54
0,month,0.7059583677558662,ret_mcap_weight,0.6217,7.3
3,beta_baseline,0.21127623397773518,ret_mcap_weight,0.6217,7.3
1,log_value_usd,0.06656068592225091,ret_mcap_weight,0.6217,7.3
4,holds_eth,0.010717947217455432,ret_mcap_weight,0.6217,7.3
2,num_tokens,0.004977147516719636,ret_mcap_weight,0.6217,7.3
5,holds_btc,0.0005096176099726891,ret_mcap_weight,0.6217,7.3
0,month,0.5516660206427055,alpha_baseline,0.4767,0.08
3,beta_baseline,0.26470820198350326,alpha_baseline,0.4767,0.08
1,log_value_usd,0.16738650104241742,alpha_baseline,0.4767,0.08
4,holds_eth,0.009455326185353797,alpha_baseline,0.4767,0.08
2,num_tokens,0.005484917376806637,alpha_baseline,0.4767,0.08
5,holds_btc,0.001299032769213407,alpha_baseline,0.4767,0.08
0,month,0.5727006643341259,alpha_better_return,0.4223,0.08
3,beta_baseline,0.3125976658036695,alpha_better_return,0.4223,0.08
1,log_value_usd,0.09272023008574708,alpha_better_return,0.4223,0.08
2,num_tokens,0.011378058790277281,alpha_better_return,0.4223,0.08
4,holds_eth,0.009154313555410812,alpha_better_return,0.4223,0.08
5,holds_btc,0.0014490674307694005,alpha_better_return,0.4223,0.08
0,month,0.5538120198753124,alpha_safer_risk,0.4693,0.07
3,beta_baseline,0.2914631446816552,alpha_safer_risk,0.4693,0.07
1,log_value_usd,0.12713462222107655,alpha_safer_risk,0.4693,0.07
2,num_tokens,0.016422897297493834,alpha_safer_risk,0.4693,0.07
4,holds_eth,0.009635512784242958,alpha_safer_risk,0.4693,0.07
5,holds_btc,0.0015318031402192398,alpha_safer_risk,0.4693,0.07
0,month,0.5570441658627914,alpha_max_sharpe,0.3765,0.09
3,beta_baseline,0.28711159016121535,alpha_max_sharpe,0.3765,0.09
1,log_value_usd,0.11852279678438726,alpha_max_sharpe,0.3765,0.09
2,num_tokens,0.018317314301309298,alpha_max_sharpe,0.3765,0.09
4,holds_eth,0.016468552621269675,alpha_max_sharpe,0.3765,0.09
5,holds_btc,0.0025355802690271976,alpha_max_sharpe,0.3765,0.09
0,month,0.6242363470534412,alpha_equal_weight,0.4686,0.08
3,beta_baseline,0.25781021100717666,alpha_equal_weight,0.4686,0.08
1,log_value_usd,0.0963694224824125,alpha_equal_weight,0.4686,0.08
2,num_tokens,0.013850251426524563,alpha_equal_weight,0.4686,0.08
4,holds_eth,0.006982432162892847,alpha_equal_weight,0.4686,0.08
5,holds_btc,0.0007513358675523133,alpha_equal_weight,0.4686,0.08
0,month,0.5616682330195478,alpha_mcap_weight,0.4612,0.07
3,beta_baseline,0.25308958171511914,alpha_mcap_weight,0.4612,0.07
1,log_value_usd,0.14760360935792136,alpha_mcap_weight,0.4612,0.07
4,holds_eth,0.027261988075899395,alpha_mcap_weight,0.4612,0.07
2,num_tokens,0.00909029447714969,alpha_mcap_weight,0.4612,0.07
5,holds_btc,0.0012862933543626106,alpha_mcap_weight,0.4612,0.07
