block_number,date,vol_bin,sharpe_bin,n_wallets
9193266,2020-01-01,0.0,-0.7,4
9193266,2020-01-01,0.0,-0.5,5
9193266,2020-01-01,0.0,-0.4,5
9193266,2020-01-01,0.0,-0.3,1
9193266,2020-01-01,0.0,-0.2,573
9193266,2020-01-01,0.0,-0.1,702
9193266,2020-01-01,0.0,0.0,1099
9193266,2020-01-01,0.0,0.1,1357
9193266,2020-01-01,0.0,0.2,12
9193266,2020-01-01,0.02,-2.7,1
9193266,2020-01-01,0.02,-1.5,3
9193266,2020-01-01,0.02,-1.4,2
9193266,2020-01-01,0.02,-1.3,21
9193266,2020-01-01,0.02,-1.2,3
9193266,2020-01-01,0.02,-1.1,2
9193266,2020-01-01,0.02,-1.0,14
9193266,2020-01-01,0.02,-0.9,25
9193266,2020-01-01,0.02,-0.8,19
9193266,2020-01-01,0.02,-0.7,12
9193266,2020-01-01,0.02,-0.6,220
9193266,2020-01-01,0.02,-0.5,509
9193266,2020-01-01,0.02,-0.4,124
9193266,2020-01-01,0.02,-0.3,56
9193266,2020-01-01,0.02,-0.2,28
9193266,2020-01-01,0.02,-0.1,101
9193266,2020-01-01,0.02,0.0,501
9193266,2020-01-01,0.02,0.1,140
9193266,2020-01-01,0.02,0.2,14
9193266,2020-01-01,0.02,0.5,1
9193266,2020-01-01,0.02,1.1,1
9193266,2020-01-01,0.04,-3.0,1
9193266,2020-01-01,0.04,-1.4,14
9193266,2020-01-01,0.04,-1.3,1
9193266,2020-01-01,0.04,-1.2,3
9193266,2020-01-01,0.04,-1.1,24
9193266,2020-01-01,0.04,-1.0,43
9193266,2020-01-01,0.04,-0.9,79
9193266,2020-01-01,0.04,-0.8,96
9193266,2020-01-01,0.04,-0.7,278
9193266,2020-01-01,0.04,-0.6,238
9193266,2020-01-01,0.04,-0.5,527
9193266,2020-01-01,0.04,-0.4,528
9193266,2020-01-01,0.04,-0.3,92
9193266,2020-01-01,0.04,-0.2,124
9193266,2020-01-01,0.04,-0.1,78
9193266,2020-01-01,0.04,0.0,197
9193266,2020-01-01,0.04,0.1,27
9193266,2020-01-01,0.04,0.4,3
9193266,2020-01-01,0.04,0.5,1
9193266,2020-01-01,0.04,0.6,1
9193266,2020-01-01,0.06,-3.0,1
9193266,2020-01-01,0.06,-2.5,1
9193266,2020-01-01,0.06,-2.2,1
9193266,2020-01-01,0.06,-1.5,6
9193266,2020-01-01,0.06,-1.4,84
9193266,2020-01-01,0.06,-1.3,2
9193266,2020-01-01,0.06,-1.2,6
9193266,2020-01-01,0.06,-1.1,27
9193266,2020-01-01,0.06,-1.0,125
9193266,2020-01-01,0.06,-0.9,127
9193266,2020-01-01,0.06,-0.8,122
9193266,2020-01-01,0.06,-0.7,116
9193266,2020-01-01,0.06,-0.6,717
9193266,2020-01-01,0.06,-0.5,201
9193266,2020-01-01,0.06,-0.4,150
9193266,2020-01-01,0.06,-0.3,552
9193266,2020-01-01,0.06,-0.2,173
9193266,2020-01-01,0.06,-0.1,600
9193266,2020-01-01,0.06,0.0,76
9193266,2020-01-01,0.06,0.1,34
9193266,2020-01-01,0.06,0.7,1
9193266,2020-01-01,0.08,-3.0,2
9193266,2020-01-01,0.08,-2.2,1
9193266,2020-01-01,0.08,-2.1,1
9193266,2020-01-01,0.08,-2.0,1
9193266,2020-01-01,0.08,-1.8,1
9193266,2020-01-01,0.08,-1.6,1
9193266,2020-01-01,0.08,-1.5,17
9193266,2020-01-01,0.08,-1.4,22
9193266,2020-01-01,0.08,-1.3,28
9193266,2020-01-01,0.08,-1.2,16
9193266,2020-01-01,0.08,-1.1,148
9193266,2020-01-01,0.08,-1.0,149
9193266,2020-01-01,0.08,-0.9,132
9193266,2020-01-01,0.08,-0.8,56
9193266,2020-01-01,0.08,-0.7,52
9193266,2020-01-01,0.08,-0.6,53
9193266,2020-01-01,0.08,-0.5,48
9193266,2020-01-01,0.08,-0.4,172
