block,date,eoa_accounts,ca_accounts
9193266,2020-01-01,9694262,498758
9393154,2020-02-01,10092848,559130
9581792,2020-03-01,10689553,638957
9782602,2020-04-01,11456511,769438
9976964,2020-05-01,12676503,974964
10176690,2020-06-01,13934252,1285486
10370274,2020-07-01,15140553,1507797
10570485,2020-08-01,16417543,1616078
10771925,2020-09-01,17905532,1686019
10966874,2020-10-01,19177652,1744197
11167817,2020-11-01,20525167,1807651
11363270,2020-12-01,22331816,1893963
11565019,2021-01-01,23955095,1981567
11766939,2021-02-01,25551358,2092677
11948960,2021-03-01,27263663,2204047
12150245,2021-04-01,28953234,2370193
12344945,2021-05-01,31125676,2561916
12545219,2021-06-01,33246976,2733774
12738509,2021-07-01,34552832,2950746
12936340,2021-08-01,35972816,3059248
13136427,2021-09-01,37388969,3148285
13330090,2021-10-01,38665430,3269735
13527859,2021-11-01,40522487,3366500
13717847,2021-12-01,42563893,3476494
13916166,2022-01-01,44141706,3625162
14116761,2022-02-01,45306245,3721679
14297759,2022-03-01,46283737,3819106
14497034,2022-04-01,47415498,3911367
14688630,2022-05-01,48393375,3964991
14881677,2022-06-01,49419537,4030557
15053226,2022-07-01,50174911,4080798
15253306,2022-08-01,50958154,4134444
15449618,2022-09-01,51720860,4197702
15649595,2022-10-01,53269471,4264060
15871480,2022-11-01,54243960,4335862
16086234,2022-12-01,55292740,4419389
16308190,2023-01-01,56162807,4491444
16530248,2023-02-01,57003861,4565869
16730072,2023-03-01,57851528,4628452
16950603,2023-04-01,58831124,4704475
17162287,2023-05-01,59673167,4775037
17382266,2023-06-01,60614685,4860848
17595510,2023-07-01,61442376,4947969
17816434,2023-08-01,62439452,5024805
18037988,2023-09-01,63235400,5098787
18251965,2023-10-01,64013833,5171979
18473543,2023-11-01,64904959,5254616
18687851,2023-12-01,65931114,5346008
18908895,2024-01-01,67114685,5436443
19129889,2024-02-01,69308998,5553750
19336607,2024-03-01,70582683,5632113
19557289,2024-04-01,72719085,5717082
19771560,2024-05-01,74203360,5781303
19993250,2024-06-01,75553462,5835491
20207949,2024-07-01,76905184,5886882
20429973,2024-08-01,78178873,5935016
20651994,2024-09-01,79486408,5994337
20866919,2024-10-01,80742174,6043004
21089069,2024-11-01,81957455,6091637
21303934,2024-12-01,83537743,6153927
21525891,2025-01-01,85415157,6212999
21747950,2025-02-01,87279547,6285650
21948292,2025-03-01,88906165,6369055
22170335,2025-04-01,90639645,6436398
22385294,2025-05-01,92257510,6513272
22606143,2025-06-01,94084868,6585614
22820674,2025-07-01,96455309,6666023
23042514,2025-08-01,98414790,6752910
23264566,2025-09-01,101158396,6855134
23479244,2025-10-01,103928590,6982844
23700767,2025-11-01,106293949,7079800
23914921,2025-12-01,109007240,7174916
