token_address,block,date,wallets
0x000000000000012def132e61759048be5b5c6033,21089069,2024-11-01,3
0x000000000000012def132e61759048be5b5c6033,21303934,2024-12-01,3
0x000000000000012def132e61759048be5b5c6033,21525891,2025-01-01,163
0x000000000000012def132e61759048be5b5c6033,21747950,2025-02-01,499
0x000000000000012def132e61759048be5b5c6033,21948292,2025-03-01,614
0x00000000000007c8612ba63df8ddefd9e6077c97,21089069,2024-11-01,6
0x00000000000007c8612ba63df8ddefd9e6077c97,21303934,2024-12-01,64
0x00000000000007c8612ba63df8ddefd9e6077c97,21525891,2025-01-01,358
0x00000000000007c8612ba63df8ddefd9e6077c97,21747950,2025-02-01,866
0x00000000000007c8612ba63df8ddefd9e6077c97,21948292,2025-03-01,876
0x0000000000095413afc295d19edeb1ad7b71c952,11565019,2021-01-01,110372
0x0000000000095413afc295d19edeb1ad7b71c952,11766939,2021-02-01,130485
0x0000000000095413afc295d19edeb1ad7b71c952,11948960,2021-03-01,142727
0x0000000000095413afc295d19edeb1ad7b71c952,12150245,2021-04-01,148072
0x0000000000095413afc295d19edeb1ad7b71c952,12344945,2021-05-01,153233
0x0000000000095413afc295d19edeb1ad7b71c952,12545219,2021-06-01,155420
0x0000000000095413afc295d19edeb1ad7b71c952,12738509,2021-07-01,157321
0x0000000000095413afc295d19edeb1ad7b71c952,12936340,2021-08-01,158047
0x0000000000095413afc295d19edeb1ad7b71c952,13136427,2021-09-01,158676
0x0000000000095413afc295d19edeb1ad7b71c952,13330090,2021-10-01,159105
0x0000000000095413afc295d19edeb1ad7b71c952,13527859,2021-11-01,159569
0x0000000000095413afc295d19edeb1ad7b71c952,13717847,2021-12-01,159823
0x0000000000095413afc295d19edeb1ad7b71c952,13916166,2022-01-01,160121
0x0000000000095413afc295d19edeb1ad7b71c952,14116761,2022-02-01,160277
0x0000000000095413afc295d19edeb1ad7b71c952,14297759,2022-03-01,160416
0x0000000000095413afc295d19edeb1ad7b71c952,14497034,2022-04-01,160570
0x0000000000095413afc295d19edeb1ad7b71c952,14688630,2022-05-01,160715
0x0000000000095413afc295d19edeb1ad7b71c952,14881677,2022-06-01,160919
0x0000000000095413afc295d19edeb1ad7b71c952,15053226,2022-07-01,161060
0x0000000000095413afc295d19edeb1ad7b71c952,15253306,2022-08-01,161263
0x0000000000095413afc295d19edeb1ad7b71c952,15449618,2022-09-01,161432
0x0000000000095413afc295d19edeb1ad7b71c952,15649595,2022-10-01,161683
0x0000000000095413afc295d19edeb1ad7b71c952,15871480,2022-11-01,162040
0x0000000000095413afc295d19edeb1ad7b71c952,16086234,2022-12-01,162194
0x0000000000095413afc295d19edeb1ad7b71c952,16308190,2023-01-01,162327
0x0000000000095413afc295d19edeb1ad7b71c952,16530248,2023-02-01,162453
0x0000000000095413afc295d19edeb1ad7b71c952,16730072,2023-03-01,162645
0x0000000000095413afc295d19edeb1ad7b71c952,16950603,2023-04-01,162781
0x0000000000095413afc295d19edeb1ad7b71c952,17162287,2023-05-01,162888
0x0000000000095413afc295d19edeb1ad7b71c952,17382266,2023-06-01,162983
0x0000000000095413afc295d19edeb1ad7b71c952,17595510,2023-07-01,163069
0x0000000000095413afc295d19edeb1ad7b71c952,17816434,2023-08-01,163131
0x0000000000095413afc295d19edeb1ad7b71c952,18037988,2023-09-01,163202
0x0000000000095413afc295d19edeb1ad7b71c952,18251965,2023-10-01,163305
0x0000000000095413afc295d19edeb1ad7b71c952,18473543,2023-11-01,163386
0x0000000000095413afc295d19edeb1ad7b71c952,18687851,2023-12-01,163551
0x0000000000095413afc295d19edeb1ad7b71c952,18908895,2024-01-01,163711
0x0000000000095413afc295d19edeb1ad7b71c952,19129889,2024-02-01,163828
0x0000000000095413afc295d19edeb1ad7b71c952,19336607,2024-03-01,163925
0x0000000000095413afc295d19edeb1ad7b71c952,19557289,2024-04-01,164111
0x0000000000095413afc295d19edeb1ad7b71c952,19771560,2024-05-01,164384
0x0000000000095413afc295d19edeb1ad7b71c952,19993250,2024-06-01,164529
0x0000000000095413afc295d19edeb1ad7b71c952,20207949,2024-07-01,164629
0x0000000000095413afc295d19edeb1ad7b71c952,20429973,2024-08-01,164712
0x0000000000095413afc295d19edeb1ad7b71c952,20651994,2024-09-01,164835
0x0000000000095413afc295d19edeb1ad7b71c952,20866919,2024-10-01,164923
0x0000000000095413afc295d19edeb1ad7b71c952,21089069,2024-11-01,165143
0x0000000000095413afc295d19edeb1ad7b71c952,21303934,2024-12-01,165356
0x0000000000095413afc295d19edeb1ad7b71c952,21525891,2025-01-01,165505
0x0000000000095413afc295d19edeb1ad7b71c952,21747950,2025-02-01,165597
0x0000000000095413afc295d19edeb1ad7b71c952,21948292,2025-03-01,165726
0x000000000075f13bcf2e6652e84821e8b544f6f9,18473543,2023-11-01,2
0x000000000075f13bcf2e6652e84821e8b544f6f9,18687851,2023-12-01,3
0x000000000075f13bcf2e6652e84821e8b544f6f9,18908895,2024-01-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,19129889,2024-02-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,19336607,2024-03-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,19557289,2024-04-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,19771560,2024-05-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,19993250,2024-06-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,20207949,2024-07-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,20429973,2024-08-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,20651994,2024-09-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,20866919,2024-10-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,21089069,2024-11-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,21303934,2024-12-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,21525891,2025-01-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,21747950,2025-02-01,22
0x000000000075f13bcf2e6652e84821e8b544f6f9,21948292,2025-03-01,22
0x0000000000c5dc95539589fbd24be07c6c14eca4,21525891,2025-01-01,20337
0x0000000000c5dc95539589fbd24be07c6c14eca4,21747950,2025-02-01,24468
0x0000000000c5dc95539589fbd24be07c6c14eca4,21948292,2025-03-01,25631
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,19336607,2024-03-01,6847
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,19557289,2024-04-01,8847
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,19771560,2024-05-01,10231
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,19993250,2024-06-01,10448
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,20207949,2024-07-01,10566
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,20429973,2024-08-01,10648
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,20651994,2024-09-01,10758
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,20866919,2024-10-01,10895
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,21089069,2024-11-01,10953
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,21303934,2024-12-01,11084
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,21525891,2025-01-01,11209
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,21747950,2025-02-01,11294
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,21948292,2025-03-01,11339
0x000000000503be77a5ed27bef2c19943a8b5ae73,19557289,2024-04-01,1601
