category,count,pct_of_categorized,pct_of_all
user,47513,33.8301,3.2551
defi_dex_pair,27131,19.3177,1.8587
service,21999,15.6637,1.5071
exchange,11196,7.9717,0.767
defi_token,10399,7.4043,0.7124
defi,8034,5.7203,0.5504
abuse,4806,3.422,0.3293
black_list,3761,2.6779,0.2577
defi_bridge,2715,1.9331,0.186
payment_processor,1288,0.9171,0.0882
sanction,514,0.366,0.0352
defi_lending,398,0.2834,0.0273
defi_dex,398,0.2834,0.0273
scam,201,0.1431,0.0138
mixing_service,59,0.042,0.004
market,21,0.015,0.0014
phishing,9,0.0064,0.0006
ransomware,2,0.0014,0.0001
hacking,2,0.0014,0.0001
