concept,count,pct_of_concept_addr,pct_of_all
defi,196887,63.071,13.4887
defi_custody,99056,31.7317,6.7863
exchange,53345,17.0886,3.6547
defi_dex,43318,13.8765,2.9677
nameservice,31433,10.0693,2.1535
deposit_wallet,30851,9.8829,2.1136
entity,21157,6.7775,1.4495
defi_bridge,20299,6.5026,1.3907
mixing,16284,5.2164,1.1156
payment_processor,12226,3.9165,0.8376
defi_token,9289,2.9757,0.6364
defi_staking,3396,1.0879,0.2327
dark_web,3138,1.0052,0.215
defi_dao,3042,0.9745,0.2084
search_engine,2602,0.8335,0.1783
escrow_wallet,2351,0.7531,0.1611
hot_wallet,2337,0.7486,0.1601
index,2205,0.7064,0.1511
messaging_service,1689,0.5411,0.1157
hacking,1145,0.3668,0.0784
wallet_service,1118,0.3581,0.0766
extremism,850,0.2723,0.0582
ico_wallet,810,0.2595,0.0555
deployer,616,0.1973,0.0422
service_hack,463,0.1483,0.0317
cold_wallet,431,0.1381,0.0295
financial_crime,388,0.1243,0.0266
gambling,385,0.1233,0.0264
abuse,377,0.1208,0.0258
sanction,373,0.1195,0.0256
exploit,309,0.099,0.0212
account_hack,253,0.081,0.0173
money_laundering,245,0.0785,0.0168
market,237,0.0759,0.0162
mining_service,217,0.0695,0.0149
ponzi_scheme,152,0.0487,0.0104
payment_card_fraud,122,0.0391,0.0084
malware,114,0.0365,0.0078
data_breach,109,0.0349,0.0075
warm_wallet,92,0.0295,0.0063
mixing_service,85,0.0272,0.0058
hosting,72,0.0231,0.0049
service,54,0.0173,0.0037
sexual_abuse,50,0.016,0.0034
social_engineering,50,0.016,0.0034
drugs,49,0.0157,0.0034
phishing,49,0.0157,0.0034
organization,30,0.0096,0.0021
collectible,27,0.0086,0.0018
item,27,0.0086,0.0018
filesharing,24,0.0077,0.0016
miner,23,0.0074,0.0016
funder,6,0.0019,0.0004
child_sexual_abuse,2,0.0006,0.0001
donation,2,0.0006,0.0001
scam,1,0.0003,0.0001
