effective_label,count,pct
UNLABELED,1112228,76.1986
defi,101651,6.9641
user,47513,3.2551
deposit_wallet,28752,1.9698
defi_dex_pair,27131,1.8587
defi_custody,22775,1.5603
service,21999,1.5071
exchange,16007,1.0966
defi_bridge,14537,0.9959
nameservice,14218,0.9741
mixing,13211,0.9051
entity,12231,0.8379
defi_token,10399,0.7124
abuse,4833,0.3311
defi_dex,3991,0.2734
black_list,3761,0.2577
payment_processor,1425,0.0976
sanction,514,0.0352
defi_dao,452,0.031
defi_lending,398,0.0273
dark_web,290,0.0199
defi_staking,266,0.0182
wallet_service,264,0.0181
scam,201,0.0138
hacking,127,0.0087
index,112,0.0077
gambling,105,0.0072
search_engine,64,0.0044
mixing_service,59,0.004
exploit,37,0.0025
messaging_service,36,0.0025
market,21,0.0014
data_breach,19,0.0013
phishing,9,0.0006
social_engineering,4,0.0003
ransomware,2,0.0001
child_sexual_abuse,2,0.0001
