block,wallet_type,n_wallets,n_wallets_pct_of_top1,total_value_usd,value_pct_of_top1,value_pct_of_all,mean_value,median_value,p75_value,p90_value,p99_value,max_value
9193266,CA,389,6.5126,6057531179.1,27.6473,26.513,15572059.586377805,530338.8364351137,2220518.064365698,8614459.917033479,619545067.4775451,672811953.896976
9193266,EOA,5584,93.4874,15852506330.86,72.3527,69.3844,2838915.8901976906,207869.322403308,562113.6245662187,2160691.24034349,52347356.34322216,1001296760.0885271
9393154,CA,417,6.8406,10223165329.77,34.5275,33.2067,24515984.004233282,599404.4829076352,2413471.286394255,9650007.304963987,983469741.0206726,1603783273.67828
9393154,EOA,5679,93.1594,19385572253.85,65.4725,62.9679,3413553.8393812077,250674.68736088893,682943.782246253,2738557.4613102823,63357900.584286794,1129574582.807715
9581792,CA,399,6.2864,10708714697.6,33.655,30.7479,26838883.953884143,683806.5642203087,2530114.007660034,13160757.78363693,1044449040.820378,1427344422.0914009
9581792,EOA,5948,93.7136,21110360989.17,66.345,60.6141,3549152.8226582073,286851.07428442826,763609.3898059597,2695269.092250122,52773417.25627902,1097382627.9543674
9782602,CA,404,6.1221,8494910406.87,33.7414,30.5778,21027005.957599893,591430.0280557212,2301861.9056138583,12564167.017343337,804276273.6940459,974998231.509918
9782602,EOA,6195,93.8779,16681608898.99,66.2586,60.0462,2692753.6560105043,232200.97315763752,657914.4584573,2383067.2062875777,37692346.02596319,1049267427.6522917
9976964,CA,473,6.5062,10702542968.46,32.4814,29.4451,22626940.736701712,761305.6074063125,2372142.970901549,10341294.250478437,812556588.6628143,1295648129.1568413
9976964,EOA,6797,93.4938,22247225070.89,67.5186,61.2071,3273094.758112177,339195.4440612852,881171.9446719661,3396010.8517069654,43055049.701983094,1441603988.4349334
10176690,CA,493,6.4026,13514217112.26,35.4135,32.2168,27412205.095865063,847820.2748518054,3465420.21835692,15048843.318751091,666259075.9840283,1698686759.606418
10176690,EOA,7207,93.5974,24646950465.88,64.5865,58.7564,3419862.6981939333,380873.3199850117,999324.967433754,4002315.853919973,45532778.76283793,945095866.5550289
10370274,CA,627,8.224,18850467930.45,40.3712,37.1869,30064542.153824765,1138181.107667231,3779389.2923343214,16594623.404418524,810344025.7866184,2502024996.364774
10370274,EOA,6997,91.776,27842338881.76,59.6288,54.9254,3979182.3469716613,495720.659778375,1279786.8351415936,4516511.59446753,59838731.55661083,1025195773.4457421
10570485,CA,765,9.7168,27285521973.79,45.603,41.7973,35667348.985340275,1571878.5032969918,4275171.722845691,23246152.46945415,564043799.8400267,3295424300.536006
