block,n_wallets_all,n_wallets_top1,value_all,value_top1,value_pct_top1,threshold_usd
9193266,5972057,5973,22847358212.92,21910037509.96,95.8975,86791.54
9393154,6095971,6096,30786418503.34,29608737583.61,96.1747,102528.65
9581792,6346976,6347,34827500582.29,31819075686.77,91.3619,137352.58
9782602,6598843,6599,27781305780.33,25176519305.86,90.624,107298.45
9976964,7269051,7270,36347448998.28,32949768039.35,90.6522,136329.08
10176690,7699749,7700,41947672639.93,38161167578.15,90.9733,171073.46
10370274,7623393,7624,50691190183.12,46692806812.21,92.1123,206248.22
10570485,7872553,7873,65280614425.69,59832695544.31,91.6546,293534.26
10771925,8304632,8350,108245065352.03,100111392992.28,92.4859,387265.37
10966874,8716112,8717,90401601392.71,82167727910.55,90.8919,367633.82
11167817,8791840,8792,92225116141.41,83300659816.54,90.3232,590156.77
11363270,9431875,9432,107571765021.22,96474499965.16,89.6838,510211.55
11565019,9904958,9905,125467480627.05,111733408594.42,89.0537,773355.34
11766939,10391642,10392,217789561961.67,199315774297.7,91.5176,795172.75
11948960,11082285,11083,440726834620.58,413820270199.56,93.895,984668.19
12150245,11730537,11731,589138059387.09,549161150803.79,93.2143,1557435.69
12344945,12559562,12560,673945305323.84,628331670276.52,93.2318,1586220.78
12545219,13364105,13365,556562591004.51,517233217846.53,92.9335,1609237.96
12738509,13552467,13553,517171215910.16,482645252323.23,93.3241,1466772.88
12936340,14069790,14070,515328975433.47,472857734570.46,91.7584,1800180.73
13136427,14692805,14693,735583358377.96,683188219788.49,92.8771,1953981.75
13330090,15168972,15169,805164422256.84,754350621733.4,93.689,1861316.94
13527859,15987007,15988,928060563543.32,858514525731.08,92.5063,2263350.0
13717847,16911026,16912,1033783470713.53,958662403211.87,92.7334,2379422.27
13916166,17457379,17458,1007642154566.37,941333466968.68,93.4194,2005883.8
14116761,17916546,17917,744145431253.61,692643257553.67,93.079,1543481.59
14297759,18262594,18263,710287994388.6,660575101911.89,93.001,1465161.85
14497034,18256624,18257,908035490448.57,854838699007.49,94.1416,1611090.98
14688630,18636365,18637,698793646844.69,655392259844.22,93.7891,1306957.98
14881677,18877555,18878,545219383693.76,510440238851.64,93.6211,1067138.49
15053226,19027244,19028,429321636674.28,399060645240.75,92.9514,892134.6
15253306,19022216,19079,524371178161.37,488536652086.0,93.1662,1001284.33
15449618,19056057,19057,443444792000.61,409371085341.9,92.3161,952208.89
15649595,19926348,19927,491188555113.58,458617870061.87,93.369,874965.04
15871480,20304803,20306,505844938317.39,472266788011.1,93.362,878986.24
16086234,20458309,20459,443133592725.59,409423014052.97,92.3927,825097.55
16308190,20277887,20278,382750437272.5,349025920184.18,91.1889,787368.37
16530248,20462853,20463,454179082523.18,412697557645.95,90.8667,924706.81
16730072,20646646,20647,482950323975.94,437173711223.74,90.5215,987350.63
16950603,20771495,20772,495133586434.82,453558279230.76,91.6032,898725.53
17162287,21132715,21133,468619823867.72,426892756216.28,91.0958,879490.04
17382266,21527364,21528,420407992861.39,381630010772.25,90.7761,805407.25
17595510,21485205,21486,416752220428.08,379333192842.25,91.0213,769424.62
17816434,21887747,21888,448261718039.06,411596405680.32,91.8206,720581.8
18037988,22119927,22120,393166460116.79,358960083479.4,91.2998,691680.21
18251965,22282597,22283,407246020554.06,373236738009.27,91.649,684670.43
18473543,22471748,22472,451136696207.91,413871333780.75,91.7397,741682.56
18687851,22946568,22949,518311550880.35,476036341443.65,91.8437,836932.87
18908895,23363994,23364,595295584475.39,551438835878.24,92.6328,828757.06
19129889,24859930,24860,575294078380.15,533500309528.55,92.7352,766563.68
19336607,25406221,25408,856067312650.63,804152553180.19,93.9357,875044.59
19557289,26232144,26233,1030772886308.68,977771944122.73,94.8581,884531.36
19771560,26699166,26700,797941578194.81,759839966568.36,95.225,705701.99
19993250,27070088,27071,917301371534.68,873921893842.67,95.271,769642.71
20207949,27350272,27351,794487440850.44,757139320409.47,95.2991,682569.91
20429973,27707934,27708,767835246915.97,732765129523.96,95.4326,646370.53
20651994,28051671,28052,684211751755.87,653889223820.98,95.5683,557248.78
20866919,28525997,28526,768360294316.16,732381230202.76,95.3174,640476.99
21089069,28888543,28889,791196691611.89,756415353740.95,95.604,619081.61
21303934,29411348,29412,1182564352474.07,1133683127276.41,95.8665,831761.15
21525891,30018155,30019,1136596929140.55,1090507683966.56,95.945,776644.88
21747950,30607893,30608,1189671827746.24,1146348707852.99,96.3584,732964.87
21948292,31005749,31006,938339715699.22,904992202706.78,96.4461,588674.61
22170335,31549469,31550,897734608083.49,867931464444.2,96.6802,529855.15
22385294,32053795,32054,923682425626.59,892318065657.5,96.6044,548230.18
22606143,32708646,32709,1062221031359.33,1028804590665.33,96.8541,558507.99
22820674,33330585,33331,1082941576755.85,1050737466943.1,97.0262,531558.56
23042514,33879349,33880,1310900052659.5,1274311572572.46,97.2089,581709.49
23264566,35072152,35073,1408771682675.95,1370337604284.71,97.2718,592371.65
23479244,36220048,36221,1470765075148.46,1433954116195.12,97.4972,554880.59
23700767,36765825,36766,1449854023842.13,1416203092593.75,97.679,512134.62
23914921,37373139,37374,1326714321957.5,1295463187840.95,97.6445,492511.0

