block,wallet_type,n_wallets,n_wallets_pct_of_top1,total_value_usd,value_pct_of_top1,value_pct_of_all,mean_value,median_value,p75_value,p90_value,p99_value,max_value
9193266,CA,1490,2.4949,6076577688.61,26.8476,26.5964,4078240.059472638,16281.155226169423,96776.164404387,1026851.7077414517,69970718.8374812,672811953.896976
9193266,EOA,58231,97.5051,16556979609.27,73.1524,72.4678,284332.7370175744,7619.978455185596,22215.993917357475,80921.83653740269,2034043.1993024386,1001296760.0885271
9393154,CA,1525,2.5016,10244140222.22,33.5704,33.2749,6717468.998177873,19412.40179449886,126601.61215464502,1285880.0912348756,102727232.65545157,1603783273.67828
9393154,EOA,59435,97.4984,20271280899.7,66.4296,65.8449,341066.3901690732,9322.538768697206,28089.82932684577,98608.92233108124,2634553.8813668247,1129574582.807715
9581792,CA,1085,1.7095,10734041942.4,31.3491,30.8206,9893126.214191765,56306.09186674974,376573.61988473654,2364465.806087142,206739899.39318484,1427344422.0914009
9581792,EOA,62385,98.2905,23506344559.05,68.6509,67.4936,376794.8154050991,34022.65612011246,80248.30393464303,129838.1077552877,2611122.602050945,1097382627.9543674
9782602,CA,1138,1.7245,8517658082.93,31.476,30.6597,7484761.057053053,48400.34750295969,262304.467740905,1790047.3492880573,113095732.53283556,974998231.509918
9782602,EOA,64851,98.2755,18543169080.48,68.524,66.7469,285934.9752583314,25245.901334392318,59042.28811292402,101796.75114438568,2237012.835641686,1049267427.6522917
9976964,CA,1334,1.8339,10732843828.16,30.343,29.5285,8045610.066086964,52873.65761645831,365426.69155503,2128116.95792825,176316426.87798816,1295648129.1568413
9976964,EOA,71408,98.1661,24638921030.41,69.657,67.7872,345044.26717461797,28627.97097080319,69772.00723857436,125249.39463435799,3127643.977891629,1441603988.4349334
10176690,CA,1503,1.952,13558056062.8,33.0931,32.3214,9020662.716434354,54151.07430342325,361962.69069837604,2328262.270932306,109555891.53839189,1698686759.606418
10176690,EOA,75495,98.048,27411329420.44,66.9069,65.3465,363088.0113973113,31200.59311656049,72865.33728999634,159991.98724564206,3823401.389059931,945095866.5550289
10370274,CA,1916,2.5133,18916036541.36,37.9487,37.3162,9872670.428685097,63171.38626587922,405911.0259924099,3023511.4338674573,100547552.53962536,2502024996.364774
10370274,EOA,74318,97.4867,30930339162.3,62.0513,61.0172,416189.0680897706,36464.91730473046,78948.77869726057,194426.81252678574,4085813.0935725365,1025195773.4457421
10570485,CA,2356,2.9927,27397668443.77,42.7144,41.9691,11628891.529612951,90960.67651129578,584286.8662051735,3832609.373921264,139859071.98290384,3295424300.536006
10570485,EOA,76370,97.0073,36743885944.46,57.2856,56.2861,481129.84083354,47422.653810584365,98746.87111543302,272027.258487338,5260993.896413687,1051240373.5888653
