block,n_wallets_all,n_wallets_top1,value_all,value_top1,value_pct_top1,threshold_usd
9193266,5972057,59721,22847358212.92,22633557297.88,99.0642,2786.28
9393154,6095971,60960,30786418503.34,30515421121.92,99.1198,3355.07
9581792,6346976,63470,34827500582.29,34240386501.45,98.3142,9183.99
9782602,6598843,65989,27781305780.33,27060827163.4,97.4066,7918.35
9976964,7269051,72742,36347448998.28,35371764858.57,97.3157,8998.01
10176690,7699749,76998,41947672639.93,40969385483.24,97.6678,10352.63
10370274,7623393,76234,50691190183.12,49846375703.66,98.3334,11196.01
10570485,7872553,78726,65280614425.69,64141554388.23,98.2551,14838.04
10771925,8304632,83047,108245065352.03,106086706541.32,98.006,21647.27
10966874,8716112,87162,90401601392.71,88174445664.05,97.5364,19684.6
11167817,8791840,87922,92225116141.41,90196724931.61,97.8006,19961.52
11363270,9431875,94319,107571765021.22,104894378080.0,97.5111,23804.28
11565019,9904958,99050,125467480627.05,122408007586.39,97.5615,26628.7
11766939,10391642,103917,217789561961.67,213034130031.1,97.8165,35622.81
11948960,11082285,110823,440726834620.58,433602205571.55,98.3834,50176.8
12150245,11730537,117306,589138059387.09,577818204497.36,98.0786,69495.22
12344945,12559562,125596,673945305323.84,660834282768.72,98.0546,73594.36
12545219,13364105,133642,556562591004.51,545767592328.21,98.0604,55741.09
12738509,13552467,135525,517171215910.16,508499912644.6,98.3233,45469.1
12936340,14069790,140699,515328975433.47,505904665349.6,98.1712,53241.41
13136427,14692805,146931,735583358377.96,722630404803.93,98.2391,64528.63
13330090,15168972,151690,805164422256.84,792683660556.33,98.4499,60767.05
13527859,15987007,159871,928060563543.32,909542579259.58,98.0047,79177.44
13717847,16911026,169114,1033783470713.53,1014305883281.39,98.1159,78489.07
13916166,17457379,174574,1007642154566.37,991459597936.86,98.394,65972.14
14116761,17916546,179166,744145431253.61,731795481652.31,98.3404,49987.91
14297759,18262594,182626,710287994388.6,697722868209.32,98.231,48587.39
14497034,18256624,182567,908035490448.57,895557241958.44,98.6258,50472.88
14688630,18636365,186364,698793646844.69,689002167405.95,98.5988,39895.4
14881677,18877555,188776,545219383693.76,537951763950.57,98.667,30565.12
15053226,19027244,190273,429321636674.28,423339044577.15,98.6065,26375.22
15253306,19022216,190223,524371178161.37,517110080351.05,98.6153,31956.6
15449618,19056057,190561,443444792000.61,436371202076.33,98.4049,31185.33
15649595,19926348,199264,491188555113.58,484723903630.27,98.6839,28087.22
15871480,20304803,203049,505844938317.39,499049853356.07,98.6567,28664.51
16086234,20458309,204584,443133592725.59,436568577228.41,98.5185,28642.88
16308190,20277887,202779,382750437272.5,376574457261.29,98.3864,28861.14
16530248,20462853,204629,454179082523.18,446419132392.42,98.2914,34279.64
16730072,20646646,206467,482950323975.94,474757819347.24,98.3037,35227.69
16950603,20771495,207715,495133586434.82,487386630747.77,98.4354,32520.13
17162287,21132715,211328,468619823867.72,461028314675.86,98.38,31535.11
17382266,21527364,215274,420407992861.39,413558177603.62,98.3707,28526.58
17595510,21485205,214853,416752220428.08,410133235789.73,98.4118,27897.71
17816434,21887747,218878,448261718039.06,441638315810.78,98.5224,27340.26
18037988,22119927,221200,393166460116.79,387084107590.42,98.453,24981.22
18251965,22282597,222828,407246020554.06,401140970968.72,98.5009,24694.44
18473543,22471748,224718,451136696207.91,444295877140.4,98.4836,26502.85
18687851,22946568,229466,518311550880.35,510277566257.79,98.45,29798.33
18908895,23363994,233640,595295584475.39,586388614102.39,98.5038,31044.28
19129889,24859930,248600,575294078380.15,566943511681.35,98.5485,27327.97
19336607,25406221,254063,856067312650.63,844683060228.29,98.6702,34918.61
19557289,26232144,262322,1030772886308.68,1016520879176.73,98.6173,39214.09
19771560,26699166,266992,797941578194.81,788006421371.07,98.7549,25940.04
19993250,27070088,270701,917301371534.68,905686179887.54,98.7338,29813.88
20207949,27350272,273503,794487440850.44,784973417904.39,98.8025,24792.69
20429973,27707934,277080,767835246915.97,759144702355.31,98.8682,22412.75
20651994,28051671,280517,684211751755.87,676806912536.81,98.9178,18846.93
20866919,28525997,285260,768360294316.16,759471259262.24,98.8431,22048.78
21089069,28888543,288886,791196691611.89,782715822987.26,98.9281,21046.07
21303934,29411348,294122,1182564352474.07,1170222234006.85,98.9563,30007.58
21525891,30018155,300182,1136596929140.55,1125046242359.09,98.9837,27968.25
21747950,30607893,306079,1189671827746.24,1179068208967.47,99.1087,25412.67
21948292,31005749,310058,938339715699.22,930602227885.18,99.1754,18490.72
22170335,31549469,315495,897734608083.49,891069130835.27,99.2575,15644.59
22385294,32053795,320538,923682425626.59,916538814308.96,99.2266,16615.6
22606143,32708646,327087,1062221031359.33,1054597984177.65,99.2823,17423.03
22820674,33330585,333306,1082941576755.85,1075701265037.89,99.3314,16350.99
23042514,33879349,338794,1310900052659.5,1302563418739.18,99.3641,18805.61
23264566,35072152,350722,1408771682675.95,1400154349290.99,99.3883,19100.35
23479244,36220048,362201,1470765075148.46,1462688288889.98,99.4508,17387.82
23700767,36765825,367659,1449854023842.13,1442805228356.69,99.5138,15244.29
23914921,37373139,373732,1326714321957.5,1320473015955.8,99.5296,13554.96
