block_number,wallet_type,wallets_considered,total_value_usd,top_1_value_usd,top_5_value_usd,top_10_value_usd,top_1_share_pct,top_5_share_pct,top_10_share_pct
9193266,ALL,3927617,22847048516.170124,22553697730.812077,22772063944.51729,22817996852.367916,98.71602327473315,99.67179755582099,99.872842814766
9193266,EOA,3927207,22747164946.437206,22454065078.655617,22672227489.87982,22718130782.04079,98.71148836142106,99.67056353293329,99.87236139332184
9193266,CA,410,99883569.73290294,95819793.16870685,99711410.90597278,99811861.58757064,95.93148645461613,99.82764049443715,99.92820826736163
9393154,ALL,4024814,30786071006.55606,30418036886.459255,30686703610.1159,30745799151.03033,98.80454339230741,99.677232614649,99.86918806392296
9393154,EOA,4024386,30686561987.380894,30318836354.472927,30587254350.731426,30646311402.255665,98.80167210305544,99.67638070146045,99.8688331878241
9393154,CA,428,99509019.17517045,94850140.83790632,99301329.57063086,99420662.72163539,95.31813460138434,99.79128564801348,99.91120759277153
9581792,ALL,4223635,34827140444.59469,33934918384.311966,34660288372.77892,34769302118.16753,97.43814149283337,99.52091366191489,99.83392743220139
9581792,EOA,4223161,34723228569.57882,33831741904.807426,34556484097.49078,34665429704.17736,97.43259281611725,99.51978983822339,99.83354409200273
9581792,CA,474,103911875.01587546,95878107.45557873,103583343.92501445,103773953.19266394,92.26867231577782,99.68383681767766,99.86727039311873
9782602,ALL,4387492,27780975469.504032,26816094210.358963,27545391547.806538,27702741767.183212,96.52682728796098,99.15199550153989,99.71839108959044
9782602,EOA,4387000,27675368962.732338,26711149092.144897,27439924624.098564,27597187877.061512,96.51596380924185,99.14926395759774,99.71750661833596
9782602,CA,492,105606506.77171198,101211334.45677753,105259568.23519693,105449363.82785335,95.8381614454539,99.67147996167981,99.85119956273309
9976964,ALL,4675647,36347002105.11357,35038036674.305336,36003204071.1445,36207430572.29422,96.39869767794666,99.05412272248802,99.61600262817902
9976964,EOA,4675078,36216119258.29169,34908336928.39423,35872526142.53114,36076624917.34586,96.38894957085155,99.05127020012814,99.6148280274014
9976964,CA,569,130882846.82190897,124442534.66438559,129995148.93829834,130598593.88821845,95.07933062742237,99.32176147970061,99.78281880277459
10176690,ALL,5055969,41947208370.31513,40574696267.22797,41575343294.71934,41765154963.7027,96.72800132258992,99.11349267318835,99.56599398700088
10176690,EOA,5054945,41798169280.670105,40428878422.264496,41426739345.146614,41616296558.574036,96.72404107172501,99.111372718194,99.56487873697334
10176690,CA,1024,149039089.6450897,134980948.30444905,145872494.28463632,147745857.33639124,90.56748040120372,97.87532561558578,99.1322864949202
10370274,ALL,4981825,50690808532.37505,49414106862.17248,50467151800.481064,50602713870.62369,97.48139414784207,99.55878247285966,99.82621176441663
10370274,EOA,4980045,50180708033.44428,48912567451.200035,49957854730.83293,50092822683.130615,97.47285235314126,99.55589844913543,99.8248622752491
10370274,CA,1780,510100498.9307353,430294221.5411829,492887811.8722044,504054882.7245149,84.35479330899673,96.62562826450635,98.81481860557025
10570485,ALL,5112250,65280109070.33382,63552553666.19002,64971702091.55608,65165416718.23634,97.35362665788058,99.52756362823253,99.82430735222287
10570485,EOA,5109601,64186798735.21142,62475636785.261055,63880032112.49736,64072562617.41191,97.33409052380165,99.5220720946381,99.82202552541877
10570485,CA,2649,1093310335.1223855,967401364.73677,1065907547.3575815,1082591437.745788,88.48369339053937,97.49359473842927,99.01959242199997
10771925,ALL,5512591,108244557600.76402,105260115516.17657,107569010915.02054,107964509429.74872,97.24287100364445,99.37590701951494,99.74128198477358
10771925,EOA,5508546,104394022730.70357,101447365429.32774,103722790153.14243,104115430984.49092,97.17736971495286,99.35702010517147,99.73313438937849
10771925,CA,4045,3850534870.0604725,3412796533.613735,3764068998.428972,3817885616.081309,88.63175243911341,97.75444517321971,99.15208522761277
10966874,ALL,5910271,90401188819.8201,87444937820.39175,89574614069.85498,90033516927.25742,96.7298538459262,99.08565942466467,99.59328865321065
10966874,EOA,5903622,86262110420.60724,83359710465.82838,85442317615.10722,85897272716.96143,96.63537103297499,99.04964902724642,99.57705914929869
10966874,CA,6649,4139078399.212902,3594011275.9080687,4027419111.7489038,4095190042.0041795,86.83119596361149,97.30231523313905,98.93965871201985
11167817,ALL,5866886,92224627317.29736,89421536475.45103,91641201049.0547,92000615495.0384,96.96058317242927,99.36738560489339,99.75710194903986
11167817,EOA,5857521,87788236756.17747,85048164336.60551,87212712819.35487,87566779870.71098,96.87877041296294,99.34441793332624,99.74773740349569
11167817,CA,9365,4436390561.119789,4060252161.3063655,4343454689.98449,4400668002.835162,91.5215219527813,97.90514676616206,99.19478328626661
11363270,ALL,6352385,107571187286.27501,103903822221.90364,106882147908.36295,107330805776.44244,96.59075524135328,99.3594573088811,99.77653727183204
11363270,EOA,6341131,103223123435.26805,99639236506.52858,102544937636.0897,102985736289.89526,96.52801929503039,99.34299043023665,99.77002522547998
11363270,CA,11254,4348063851.007264,3861485119.19602,4236960378.129048,4307597688.890799,88.80930113989645,97.44475985897773,99.0693291657368
11565019,ALL,6945211,125467051021.42815,121370015452.5155,124721008893.2255,125197926317.3587,96.73457251480876,99.40538801053414,99.78550168998275
11565019,EOA,6932259,119912959224.12221,115916201162.35347,119179363713.37592,119647239467.83702,96.66695068854182,99.38822666416299,99.77840613891568
11565019,CA,12952,5554091797.305908,4921077194.247457,5412287365.095951,5506294636.090694,88.6027342334258,97.44684752458105,99.13942435668064
11766939,ALL,7280898,217789019397.22534,211570358234.68463,216490317268.06625,217321390492.43613,97.14463971611053,99.40368796702721,99.78528352527438
11766939,EOA,7266621,206871334817.93805,200800008917.0047,205594192173.9055,206409428664.6693,97.06516811221015,99.3826391437187,99.77671814527844
11766939,CA,14277,10917684579.2871,9817498658.091164,10681883410.453533,10841986042.1927,89.92290065529832,97.84019068218066,99.30664293747765
11948960,ALL,7995653,440726253444.40607,431618244896.98334,438602628969.82166,439875240963.4609,97.93340912272846,99.51815339839919,99.80690678753665
11948960,EOA,7980475,425700311772.4561,416799664470.06146,423605680578.75134,424858032416.6069,97.90917529157174,99.50795638720969,99.8021426499919
11948960,CA,15178,15025941671.950071,13457616957.373621,14684048190.600819,14920784251.275005,89.56255289141613,97.72464522481484,99.30016086198863
12150245,ALL,8918402,589137633786.1722,575446670390.5415,585593416796.9707,587665006014.1129,97.6761010313254,99.39840594354428,99.75003671678631
