block,wallet_type,bucket,wallet_count,wallet_pct,value_sum_usd,value_pct
9193266,ALL,1,5069952,84.89,16213811493.006437,70.97
9193266,ALL,10–20,4774,0.08,273419379.2924889,1.2
9193266,ALL,20–50,433,0.01,1646057670.4355364,7.2
9193266,ALL,2–5,862781,14.45,3239174951.711999,14.18
9193266,ALL,50–100,28,0.0,1028312634.041326,4.5
9193266,ALL,5–10,34087,0.57,439098320.49438787,1.92
9193266,ALL,>100,2,0.0,7483763.941677941,0.03
9193266,CA,1,1155,86.39,99129802.16449137,99.25
9193266,CA,10–20,2,0.15,7394.913644119827,0.01
9193266,CA,20–50,1,0.07,201.05012647329735,0.0
9193266,CA,2–5,166,12.42,395185.66610015096,0.4
9193266,CA,5–10,13,0.97,351063.20121390244,0.35
9193266,EOA,1,5068797,84.89,16114681690.841948,70.84
9193266,EOA,10–20,4772,0.08,273411984.3788448,1.2
9193266,EOA,20–50,432,0.01,1646057469.3854098,7.24
9193266,EOA,2–5,862615,14.45,3238779766.045899,14.24
9193266,EOA,50–100,28,0.0,1028312634.041326,4.52
9193266,EOA,5–10,34074,0.57,438747257.29317397,1.93
9193266,EOA,>100,2,0.0,7483763.941677941,0.03
9393154,ALL,1,5167695,84.77,22096040366.519947,71.77
9393154,ALL,10–20,4996,0.08,213415765.2070549,0.69
9393154,ALL,20–50,448,0.01,1873343442.8082592,6.08
9393154,ALL,2–5,887713,14.56,5148127786.183987,16.72
9393154,ALL,50–100,32,0.0,942925941.2879835,3.06
9393154,ALL,5–10,35085,0.58,501009547.24152094,1.63
9393154,ALL,>100,2,0.0,11555654.091711558,0.04
9393154,CA,1,1192,86.13,98716860.25543438,99.2
9393154,CA,10–20,1,0.07,0.002272185324269031,0.0
9393154,CA,20–50,1,0.07,313.63701173374557,0.0
9393154,CA,2–5,176,12.72,422025.4438691597,0.42
9393154,CA,5–10,14,1.01,369931.9083907986,0.37
9393154,EOA,1,5166503,84.77,21997323506.264515,71.68
9393154,EOA,10–20,4995,0.08,213415765.20478272,0.7
9393154,EOA,20–50,447,0.01,1873343129.1712475,6.1
9393154,EOA,2–5,887537,14.56,5147705760.740117,16.77
9393154,EOA,50–100,32,0.0,942925941.2879835,3.07
9393154,EOA,5–10,35071,0.58,500639615.3331301,1.63
9393154,EOA,>100,2,0.0,11555654.091711558,0.04
9581792,ALL,1,5403318,85.13,24248302390.284863,69.62
9581792,ALL,10–20,5246,0.08,237476611.37268218,0.68
9581792,ALL,20–50,480,0.01,2259819037.874051,6.49
9581792,ALL,2–5,901893,14.21,6299194485.328747,18.09
9581792,ALL,50–100,30,0.0,1111944641.2484353,3.19
9581792,ALL,5–10,36006,0.57,657412052.9442499,1.89
9581792,ALL,>100,3,0.0,13351363.237495681,0.04
9581792,CA,1,1262,85.62,100474835.49269591,96.69
9581792,CA,10–20,1,0.07,0.002595362738252646,0.0
9581792,CA,20–50,1,0.07,421.29270178411804,0.0
9581792,CA,2–5,197,13.36,2914908.148821067,2.81
9581792,CA,5–10,13,0.88,521814.1742662373,0.5
9581792,EOA,1,5402056,85.13,24147827554.792168,69.54
9581792,EOA,10–20,5245,0.08,237476611.37008682,0.68
9581792,EOA,20–50,479,0.01,2259818616.5813494,6.51
9581792,EOA,2–5,901696,14.21,6296279577.179926,18.13
9581792,EOA,50–100,30,0.0,1111944641.2484353,3.2
9581792,EOA,5–10,35993,0.57,656890238.7699836,1.89
9581792,EOA,>100,3,0.0,13351363.237495681,0.04
9782602,ALL,1,5638285,85.44,18574247623.531292,66.86
9782602,ALL,10–20,5637,0.09,190953187.8956463,0.69
9782602,ALL,20–50,505,0.01,2516890568.0707703,9.06
9782602,ALL,2–5,917191,13.9,4538281594.573295,16.34
9782602,ALL,50–100,34,0.0,1308107894.9662027,4.71
9782602,ALL,5–10,37188,0.56,643159037.0708592,2.32
9782602,ALL,>100,3,0.0,9665874.221599296,0.03
9782602,CA,1,1316,85.07,73541533.23226455,69.64
9782602,CA,10–20,1,0.06,0.0020230527893971384,0.0
9782602,CA,20–50,1,0.06,787.1673390059304,0.0
9782602,CA,2–5,214,13.83,31543186.93198737,29.87
9782602,CA,5–10,15,0.97,521104.8115502995,0.49
9782602,EOA,1,5636969,85.44,18500706090.299026,66.85
9782602,EOA,10–20,5636,0.09,190953187.89362326,0.69
9782602,EOA,20–50,504,0.01,2516889780.9034314,9.09
9782602,EOA,2–5,916977,13.9,4506738407.641307,16.28
9782602,EOA,50–100,34,0.0,1308107894.9662027,4.73
9782602,EOA,5–10,37173,0.56,642637932.2593089,2.32
9782602,EOA,>100,3,0.0,9665874.221599296,0.03
9976964,ALL,1,6242569,85.88,24188241789.51158,66.55
9976964,ALL,10–20,5941,0.08,267310516.72369748,0.74
9976964,ALL,20–50,548,0.01,1764398847.7701256,4.85
9976964,ALL,2–5,981222,13.5,6454895781.460635,17.76
9976964,ALL,50–100,38,0.0,2917740577.982353,8.03
9976964,ALL,5–10,38730,0.53,739989868.2261156,2.04
9976964,ALL,>100,3,0.0,14871616.605630495,0.04
9976964,CA,1,1370,83.84,101906663.45572111,77.86
9976964,CA,10–20,1,0.06,0.002576524509733252,0.0
9976964,CA,20–50,1,0.06,1177.101096300999,0.0
9976964,CA,2–5,244,14.93,28327098.267666645,21.64
9976964,CA,5–10,18,1.1,648036.9247349155,0.5
9976964,EOA,1,6241199,85.88,24086335126.05586,66.51
9976964,EOA,10–20,5940,0.08,267310516.72112095,0.74
9976964,EOA,20–50,547,0.01,1764397670.6690295,4.87
9976964,EOA,2–5,980978,13.5,6426568683.192968,17.74
