size_bucket,wallet_count,wallet_pct,wealth_bucket,block
1,1775855,86.8627,0–1,9193266
11–20,147,0.0072,0–1,9193266
2,197805,9.6753,0–1,9193266
21–50,23,0.0011,0–1,9193266
3,44357,2.1696,0–1,9193266
4,14928,0.7302,0–1,9193266
5,7765,0.3798,0–1,9193266
6–10,3560,0.1741,0–1,9193266
1,48493,58.88,"1,000–10,000",9193266
11–20,1519,1.8444,"1,000–10,000",9193266
2,11213,13.6148,"1,000–10,000",9193266
21–50,108,0.1311,"1,000–10,000",9193266
3,7455,9.0518,"1,000–10,000",9193266
4,4663,5.6618,"1,000–10,000",9193266
5,3034,3.6839,"1,000–10,000",9193266
51–100,4,0.0049,"1,000–10,000",9193266
6–10,5870,7.1273,"1,000–10,000",9193266
1,12928,64.7274,"10,000–100,000",9193266
11–20,374,1.8725,"10,000–100,000",9193266
2,2619,13.1127,"10,000–100,000",9193266
21–50,54,0.2704,"10,000–100,000",9193266
3,1356,6.7892,"10,000–100,000",9193266
4,903,4.5211,"10,000–100,000",9193266
5,591,2.959,"10,000–100,000",9193266
51–100,4,0.02,"10,000–100,000",9193266
6–10,1144,5.7277,"10,000–100,000",9193266
1,228355,72.2825,"100–1,000",9193266
11–20,1265,0.4004,"100–1,000",9193266
2,36038,11.4073,"100–1,000",9193266
21–50,113,0.0358,"100–1,000",9193266
3,21363,6.7622,"100–1,000",9193266
4,11995,3.7968,"100–1,000",9193266
5,7047,2.2306,"100–1,000",9193266
51–100,2,0.0006,"100–1,000",9193266
6–10,9742,3.0837,"100–1,000",9193266
1,3000513,85.6301,1–100,9193266
11–20,1365,0.039,1–100,9193266
2,375344,10.7118,1–100,9193266
21–50,88,0.0025,1–100,9193266
3,73117,2.0866,1–100,9193266
4,27184,0.7758,1–100,9193266
5,12853,0.3668,1–100,9193266
51–100,1,0.0,1–100,9193266
6–10,13574,0.3874,1–100,9193266
1,3808,71.4983,">100,000",9193266
11–20,104,1.9527,">100,000",9193266
2,622,11.6786,">100,000",9193266
21–50,47,0.8825,">100,000",9193266
3,278,5.2197,">100,000",9193266
4,150,2.8164,">100,000",9193266
5,101,1.8964,">100,000",9193266
51–100,17,0.3192,">100,000",9193266
6–10,197,3.6988,">100,000",9193266
>100,2,0.0376,">100,000",9193266
1,1812635,87.518,0–1,9393154
11–20,134,0.0065,0–1,9393154
2,193087,9.3227,0–1,9393154
21–50,21,0.001,0–1,9393154
3,41482,2.0028,0–1,9393154
4,13532,0.6534,0–1,9393154
5,7154,0.3454,0–1,9393154
51–100,1,0.0,0–1,9393154
6–10,3111,0.1502,0–1,9393154
1,52452,56.054,"1,000–10,000",9393154
11–20,1645,1.758,"1,000–10,000",9393154
2,14788,15.8035,"1,000–10,000",9393154
21–50,117,0.125,"1,000–10,000",9393154
3,8909,9.5208,"1,000–10,000",9393154
4,5473,5.8488,"1,000–10,000",9393154
5,3483,3.7222,"1,000–10,000",9393154
51–100,4,0.0043,"1,000–10,000",9393154
6–10,6703,7.1633,"1,000–10,000",9393154
1,14036,60.9043,"10,000–100,000",9393154
11–20,486,2.1088,"10,000–100,000",9393154
2,3547,15.391,"10,000–100,000",9393154
21–50,58,0.2517,"10,000–100,000",9393154
3,1687,7.3201,"10,000–100,000",9393154
4,1054,4.5735,"10,000–100,000",9393154
5,726,3.1502,"10,000–100,000",9393154
51–100,5,0.0217,"10,000–100,000",9393154
6–10,1447,6.2787,"10,000–100,000",9393154
1,239166,70.2122,"100–1,000",9393154
11–20,1271,0.3731,"100–1,000",9393154
2,47295,13.8844,"100–1,000",9393154
21–50,109,0.032,"100–1,000",9393154
3,22920,6.7286,"100–1,000",9393154
4,12580,3.6931,"100–1,000",9393154
5,7348,2.1572,"100–1,000",9393154
51–100,4,0.0012,"100–1,000",9393154
6–10,9940,2.9181,"100–1,000",9393154
1,3045128,85.505,1–100,9393154
11–20,1346,0.0378,1–100,9393154
2,384804,10.805,1–100,9393154
21–50,86,0.0024,1–100,9393154
3,75118,2.1093,1–100,9393154
