size_bucket,wallet_count,wallet_pct,wallet_type,wealth_bucket,block
1,878,94.7141,CA,0–1,9193266
11–20,1,0.1079,CA,0–1,9193266
2,39,4.2071,CA,0–1,9193266
3,6,0.6472,CA,0–1,9193266
4,2,0.2157,CA,0–1,9193266
6–10,1,0.1079,CA,0–1,9193266
1,29,64.4444,CA,"1,000–10,000",9193266
11–20,1,2.2222,CA,"1,000–10,000",9193266
2,7,15.5556,CA,"1,000–10,000",9193266
3,4,8.8889,CA,"1,000–10,000",9193266
4,2,4.4444,CA,"1,000–10,000",9193266
6–10,2,4.4444,CA,"1,000–10,000",9193266
1,3,42.8571,CA,"10,000–100,000",9193266
2,2,28.5714,CA,"10,000–100,000",9193266
4,1,14.2857,CA,"10,000–100,000",9193266
6–10,1,14.2857,CA,"10,000–100,000",9193266
1,50,64.9351,CA,"100–1,000",9193266
2,12,15.5844,CA,"100–1,000",9193266
21–50,1,1.2987,CA,"100–1,000",9193266
3,8,10.3896,CA,"100–1,000",9193266
4,3,3.8961,CA,"100–1,000",9193266
5,1,1.2987,CA,"100–1,000",9193266
6–10,2,2.5974,CA,"100–1,000",9193266
1,184,68.6567,CA,1–100,9193266
2,44,16.4179,CA,1–100,9193266
3,15,5.597,CA,1–100,9193266
4,13,4.8507,CA,1–100,9193266
5,6,2.2388,CA,1–100,9193266
6–10,6,2.2388,CA,1–100,9193266
1,11,84.6154,CA,">100,000",9193266
2,1,7.6923,CA,">100,000",9193266
6–10,1,7.6923,CA,">100,000",9193266
1,1774977,86.8591,EOA,0–1,9193266
11–20,146,0.0071,EOA,0–1,9193266
2,197766,9.6777,EOA,0–1,9193266
21–50,23,0.0011,EOA,0–1,9193266
3,44351,2.1703,EOA,0–1,9193266
4,14926,0.7304,EOA,0–1,9193266
5,7765,0.38,EOA,0–1,9193266
6–10,3559,0.1742,EOA,0–1,9193266
1,48464,58.877,EOA,"1,000–10,000",9193266
11–20,1518,1.8442,EOA,"1,000–10,000",9193266
2,11206,13.6137,EOA,"1,000–10,000",9193266
21–50,108,0.1312,EOA,"1,000–10,000",9193266
3,7451,9.0519,EOA,"1,000–10,000",9193266
4,4661,5.6625,EOA,"1,000–10,000",9193266
5,3034,3.6859,EOA,"1,000–10,000",9193266
51–100,4,0.0049,EOA,"1,000–10,000",9193266
6–10,5868,7.1288,EOA,"1,000–10,000",9193266
1,12925,64.735,EOA,"10,000–100,000",9193266
