block,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
9193266,0–1,2044440,1.187845082271918,1.0,1.0,1.0,2.0,2.0,4.0,37.0
9193266,"1,000–10,000",82359,2.352384074600226,1.0,1.0,3.0,5.0,7.0,13.0,63.0
9193266,"10,000–100,000",19973,2.1964652280578782,1.0,1.0,2.0,5.0,7.0,14.0,64.0
9193266,"100–1,000",315920,1.700123448974424,1.0,1.0,2.0,3.0,5.0,8.0,54.0
9193266,1–100,3504039,1.215487327623922,1.0,1.0,1.0,2.0,2.0,4.0,74.0
9193266,">100,000",5326,2.3929778445362375,1.0,1.0,2.0,4.0,7.0,23.0,173.0
9393154,0–1,2071157,1.1758905771025567,1.0,1.0,1.0,2.0,2.0,4.0,58.0
9393154,"1,000–10,000",93574,2.3772201679953833,1.0,1.0,3.0,5.0,7.0,12.0,59.0
9393154,"10,000–100,000",23046,2.304781740866094,1.0,1.0,2.0,5.0,7.0,14.0,65.0
9393154,"100–1,000",340633,1.7037163163874316,1.0,1.0,2.0,3.0,5.0,8.0,87.0
9393154,1–100,3561344,1.2168639142975237,1.0,1.0,1.0,2.0,2.0,4.0,78.0
9393154,">100,000",6217,2.418529837542223,1.0,1.0,2.0,4.0,7.0,23.0,175.0
9581792,0–1,2123341,1.1705783479902663,1.0,1.0,1.0,2.0,2.0,4.0,58.0
9581792,"1,000–10,000",135065,2.057535260800355,1.0,1.0,2.0,4.0,6.0,11.0,70.0
9581792,"10,000–100,000",49933,1.7213866581218833,1.0,1.0,1.0,3.0,5.0,12.0,65.0
9581792,"100–1,000",398495,1.605947377005985,1.0,1.0,2.0,3.0,4.0,8.0,57.0
9581792,1–100,3628998,1.2156628358571704,1.0,1.0,1.0,2.0,2.0,4.0,128.0
9581792,">100,000",11144,1.9121500358937544,1.0,1.0,1.0,3.0,5.0,17.0,180.0
9782602,0–1,2211351,1.1793849099487146,1.0,1.0,1.0,2.0,2.0,4.0,58.0
9782602,"1,000–10,000",193341,1.6873348125850183,1.0,1.0,1.0,3.0,5.0,10.0,62.0
9782602,"10,000–100,000",49166,1.6138388317129724,1.0,1.0,1.0,3.0,5.0,11.0,73.0
9782602,"100–1,000",434045,1.5445380087318135,1.0,1.0,1.0,3.0,4.0,8.0,75.0
9782602,1–100,3703921,1.2188958673794608,1.0,1.0,1.0,2.0,2.0,4.0,127.0
9782602,">100,000",7019,2.3043168542527424,1.0,1.0,2.0,4.0,7.0,23.0,185.0
9976964,0–1,2593404,1.1530370894777675,1.0,1.0,1.0,2.0,2.0,3.0,58.0
9976964,"1,000–10,000",233024,1.7116005218346608,1.0,1.0,2.0,3.0,5.0,10.0,75.0
9976964,"10,000–100,000",55920,1.7575286123032905,1.0,1.0,1.0,3.0,6.0,12.0,67.0
9976964,"100–1,000",626263,1.4020371633004025,1.0,1.0,1.0,2.0,4.0,7.0,127.0
9976964,1–100,3750663,1.225444941334372,1.0,1.0,1.0,2.0,2.0,4.0,48.0
9976964,">100,000",9777,2.173263782346323,1.0,1.0,2.0,4.0,6.0,19.23999999999978,188.0
10176690,0–1,2643780,1.1475947317855495,1.0,1.0,1.0,2.0,2.0,3.0,35.0
10176690,"1,000–10,000",216411,1.9098751911871392,1.0,1.0,2.0,4.0,6.0,11.0,75.0
10176690,"10,000–100,000",67349,1.809039480912857,1.0,1.0,1.0,4.0,6.0,13.0,67.0
10176690,"100–1,000",809094,1.3444334032881222,1.0,1.0,1.0,2.0,3.0,6.0,128.0
10176690,1–100,3951740,1.210434643979614,1.0,1.0,1.0,2.0,2.0,4.0,103.0
10176690,">100,000",11375,2.117978021978022,1.0,1.0,2.0,4.0,6.0,19.0,190.0
10370274,0–1,2641568,1.148310397460902,1.0,1.0,1.0,2.0,2.0,3.0,101.0
10370274,"1,000–10,000",183842,2.1678288965524746,1.0,1.0,2.0,5.0,6.0,11.0,76.0
10370274,"10,000–100,000",68152,1.894661932151661,1.0,1.0,2.0,4.0,6.0,13.0,68.0
10370274,"100–1,000",500851,1.5752968447702012,1.0,1.0,2.0,3.0,4.0,7.0,129.0
10370274,1–100,4216030,1.2008856673221016,1.0,1.0,1.0,2.0,2.0,4.0,49.0
10370274,">100,000",12950,2.1875675675675677,1.0,1.0,2.0,4.0,7.0,18.0,192.0
10570485,0–1,2760303,1.1362897479008645,1.0,1.0,1.0,1.0,2.0,3.0,99.0
10570485,"1,000–10,000",217952,2.1826870136543826,1.0,1.0,3.0,5.0,6.0,11.0,80.0
10570485,"10,000–100,000",75861,2.0988650294617788,1.0,1.0,2.0,5.0,7.0,14.0,111.0
10570485,"100–1,000",505108,1.6135519532456426,1.0,1.0,2.0,3.0,4.0,7.0,147.0
10570485,1–100,4293562,1.2007242471402533,1.0,1.0,1.0,2.0,2.0,4.0,58.0
10570485,">100,000",19767,2.053017655688774,1.0,1.0,2.0,4.0,6.0,16.0,195.0
10771925,0–1,2792041,1.130045010084021,1.0,1.0,1.0,1.0,2.0,3.0,99.0
10771925,"1,000–10,000",351679,1.9851313271477682,1.0,1.0,2.0,4.0,6.0,10.0,187.0
10771925,"10,000–100,000",105743,2.4095306545114097,1.0,1.0,2.0,6.0,8.0,15.0,146.0
10771925,"100–1,000",744981,1.4641849926373962,1.0,1.0,1.0,3.0,4.0,7.0,129.0
10771925,1–100,4284100,1.1981741789407343,1.0,1.0,1.0,2.0,2.0,4.0,73.0
10771925,">100,000",26088,2.3497776755596442,1.0,1.0,2.0,5.0,8.0,18.0,197.0
10966874,0–1,2805841,1.1387191932828695,1.0,1.0,1.0,1.0,2.0,3.0,100.0
10966874,"1,000–10,000",441572,2.0383765274972143,1.0,1.0,2.0,4.0,6.0,11.0,201.0
10966874,"10,000–100,000",102038,2.416727101668006,1.0,1.0,2.0,6.0,9.0,17.0,89.0
10966874,"100–1,000",887971,1.4518672344029253,1.0,1.0,1.0,3.0,4.0,7.0,131.0
10966874,1–100,4451228,1.2024490769738148,1.0,1.0,1.0,2.0,2.0,4.0,58.0
10966874,">100,000",27462,2.22099628577671,1.0,1.0,2.0,4.0,7.0,19.0,204.0
11167817,0–1,2924954,1.1354783699162447,1.0,1.0,1.0,1.0,2.0,3.0,100.0
11167817,"1,000–10,000",327758,2.3360436663635977,1.0,1.0,3.0,5.0,7.0,13.0,197.0
11167817,"10,000–100,000",109505,2.2254234966439888,1.0,1.0,2.0,5.0,8.0,16.0,182.0
11167817,"100–1,000",738164,1.620668306771937,1.0,1.0,2.0,3.0,4.0,8.0,174.0
11167817,1–100,4665213,1.2112405157063568,1.0,1.0,1.0,2.0,2.0,4.0,238.0
11167817,">100,000",26246,2.337270441210089,1.0,1.0,2.0,4.0,8.0,20.0,210.0
11363270,0–1,3079490,1.1286794241903693,1.0,1.0,1.0,1.0,2.0,3.0,100.0
11363270,"1,000–10,000",356382,2.3229540212468645,1.0,1.0,3.0,5.0,7.0,13.0,232.0
11363270,"10,000–100,000",136266,2.3045367149545744,1.0,1.0,2.0,5.0,8.0,17.0,194.0
11363270,"100–1,000",759092,1.5968657290552397,1.0,1.0,2.0,3.0,4.0,8.0,131.0
11363270,1–100,5066953,1.201372501382981,1.0,1.0,1.0,2.0,2.0,4.0,238.0
11363270,">100,000",33692,2.3594325062329338,1.0,1.0,2.0,5.0,8.0,20.0,333.0
11565019,0–1,2959747,1.134484467760251,1.0,1.0,1.0,1.0,2.0,3.0,116.0
