block,wallet_type,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
9193266,CA,0–1,927,1.080906148867314,1.0,1.0,1.0,1.0,2.0,2.740000000000009,13.0
9193266,CA,"1,000–10,000",45,2.066666666666667,1.0,1.0,2.0,3.6000000000000014,6.3999999999999915,12.04000000000002,16.0
9193266,CA,"10,000–100,000",7,2.4285714285714284,2.0,1.0,3.0,4.800000000000001,5.399999999999999,5.879999999999999,6.0
9193266,CA,"100–1,000",77,1.974025974025974,1.0,1.0,2.0,3.0,4.200000000000003,11.079999999999913,24.0
9193266,CA,1–100,268,1.6455223880597014,1.0,1.0,2.0,3.0,4.0,6.329999999999984,9.0
9193266,CA,">100,000",13,1.6923076923076923,1.0,1.0,1.0,1.8000000000000007,4.79999999999999,8.159999999999993,9.0
9193266,EOA,0–1,2043513,1.1878935930429608,1.0,1.0,1.0,2.0,2.0,4.0,37.0
9193266,EOA,"1,000–10,000",82314,2.352540272614622,1.0,1.0,3.0,5.0,7.0,13.0,63.0
9193266,EOA,"10,000–100,000",19966,2.1963838525493338,1.0,1.0,2.0,5.0,7.0,14.0,64.0
9193266,EOA,"100–1,000",315843,1.7000566737271365,1.0,1.0,2.0,3.0,5.0,8.0,54.0
9193266,EOA,1–100,3503771,1.2154544346648226,1.0,1.0,1.0,2.0,2.0,4.0,74.0
9193266,EOA,">100,000",5313,2.3946922642574817,1.0,1.0,2.0,4.0,7.0,23.0,173.0
9393154,CA,0–1,956,1.096234309623431,1.0,1.0,1.0,1.0,2.0,3.0,20.0
9393154,CA,"1,000–10,000",56,1.8214285714285714,1.0,1.0,2.0,3.0,4.25,7.450000000000003,8.0
9393154,CA,"10,000–100,000",6,2.5,1.5,1.0,3.5,5.0,5.5,5.9,6.0
9393154,CA,"100–1,000",85,2.0470588235294116,1.0,1.0,2.0,3.6000000000000085,5.799999999999997,9.879999999999939,25.0
9393154,CA,1–100,268,1.6044776119402986,1.0,1.0,2.0,3.0,4.0,6.329999999999984,9.0
9393154,CA,">100,000",13,1.6923076923076923,1.0,1.0,1.0,1.8000000000000007,4.79999999999999,8.159999999999993,9.0
9393154,EOA,0–1,2070201,1.1759273616426618,1.0,1.0,1.0,2.0,2.0,4.0,58.0
9393154,EOA,"1,000–10,000",93518,2.377552984452191,1.0,1.0,3.0,5.0,7.0,12.0,59.0
9393154,EOA,"10,000–100,000",23040,2.3047309027777776,1.0,1.0,2.0,5.0,7.0,14.0,65.0
9393154,EOA,"100–1,000",340548,1.7036306188848562,1.0,1.0,2.0,3.0,5.0,8.0,87.0
9393154,EOA,1–100,3561076,1.2168347432068285,1.0,1.0,1.0,2.0,2.0,4.0,78.0
9393154,EOA,">100,000",6204,2.4200515796260476,1.0,1.0,2.0,4.0,7.0,23.0,175.0
9581792,CA,0–1,1000,1.105,1.0,1.0,1.0,1.0,2.0,3.0,20.0
9581792,CA,"1,000–10,000",72,1.7361111111111112,1.0,1.0,2.0,3.0,4.0,7.290000000000006,8.0
9581792,CA,"10,000–100,000",9,2.111111111111111,1.0,1.0,2.0,4.4,5.199999999999999,5.84,6.0
9581792,CA,"100–1,000",93,1.967741935483871,1.0,1.0,2.0,3.0,5.3999999999999915,8.43999999999997,25.0
9581792,CA,1–100,281,1.5658362989323844,1.0,1.0,2.0,3.0,4.0,5.199999999999989,9.0
9581792,CA,">100,000",19,1.6842105263157894,1.0,1.0,2.0,2.0,2.699999999999985,7.740000000000002,9.0
9581792,EOA,0–1,2122341,1.1706092470531362,1.0,1.0,1.0,2.0,2.0,4.0,58.0
9581792,EOA,"1,000–10,000",134993,2.0577066959027506,1.0,1.0,2.0,4.0,6.0,11.0,70.0
9581792,EOA,"10,000–100,000",49924,1.7213164009294126,1.0,1.0,1.0,3.0,5.0,12.0,65.0
9581792,EOA,"100–1,000",398402,1.6058629223748877,1.0,1.0,2.0,3.0,4.0,8.0,57.0
9581792,EOA,1–100,3628717,1.2156357191811873,1.0,1.0,1.0,2.0,2.0,4.0,128.0
9581792,EOA,">100,000",11125,1.9125393258426966,1.0,1.0,1.0,3.0,5.0,17.0,180.0
9782602,CA,0–1,1055,1.1061611374407583,1.0,1.0,1.0,1.0,2.0,3.0,20.0
9782602,CA,"1,000–10,000",70,1.7,1.0,1.0,2.0,3.0,5.549999999999997,7.310000000000002,8.0
9782602,CA,"10,000–100,000",15,1.8,1.0,1.0,2.0,3.1999999999999993,4.599999999999998,5.719999999999999,6.0
9782602,CA,"100–1,000",97,2.0618556701030926,1.0,1.0,2.0,4.0,5.0,7.719999999999857,25.0
9782602,CA,1–100,295,1.5864406779661018,1.0,1.0,2.0,3.0,4.0,6.0,9.0
9782602,CA,">100,000",15,1.7333333333333334,1.0,1.0,1.5,2.0,4.0999999999999925,8.019999999999996,9.0
9782602,EOA,0–1,2210296,1.179419860507371,1.0,1.0,1.0,2.0,2.0,4.0,58.0
9782602,EOA,"1,000–10,000",193271,1.6873302254347522,1.0,1.0,1.0,3.0,5.0,10.0,62.0
9782602,EOA,"10,000–100,000",49151,1.6137820186771379,1.0,1.0,1.0,3.0,5.0,11.0,73.0
9782602,EOA,"100–1,000",433948,1.5444223731875708,1.0,1.0,1.0,3.0,4.0,8.0,75.0
9782602,EOA,1–100,3703626,1.2188665918210964,1.0,1.0,1.0,2.0,2.0,4.0,127.0
9782602,EOA,">100,000",7004,2.3055396916047974,1.0,1.0,2.0,4.0,7.0,23.0,185.0
9976964,CA,0–1,1065,1.1089201877934272,1.0,1.0,1.0,1.0,2.0,3.0,20.0
9976964,CA,"1,000–10,000",77,2.2857142857142856,1.0,1.0,2.0,4.400000000000006,6.200000000000003,13.599999999999923,25.0
9976964,CA,"10,000–100,000",31,1.7096774193548387,1.0,1.0,2.0,2.0,3.5,5.399999999999999,6.0
9976964,CA,"100–1,000",116,1.7844827586206897,1.0,1.0,2.0,3.0,4.25,6.0,8.0
9976964,CA,1–100,323,1.5665634674922602,1.0,1.0,2.0,3.0,4.0,6.0,9.0
9976964,CA,">100,000",22,1.7727272727272727,1.0,1.0,1.75,2.900000000000002,4.899999999999999,8.159999999999997,9.0
9976964,EOA,0–1,2592339,1.15305521384356,1.0,1.0,1.0,2.0,2.0,3.0,58.0
9976964,EOA,"1,000–10,000",232947,1.7114107500847833,1.0,1.0,2.0,3.0,5.0,10.0,75.0
9976964,EOA,"10,000–100,000",55889,1.7575551539658967,1.0,1.0,1.0,3.0,6.0,12.0,67.0
9976964,EOA,"100–1,000",626147,1.4019663114252723,1.0,1.0,1.0,2.0,4.0,7.0,127.0
9976964,EOA,1–100,3750340,1.2254155623223495,1.0,1.0,1.0,2.0,2.0,4.0,48.0
9976964,EOA,">100,000",9755,2.174167093798052,1.0,1.0,2.0,4.0,6.0,19.459999999999127,188.0
10176690,CA,0–1,1138,1.1080843585237259,1.0,1.0,1.0,1.0,2.0,3.0,20.0
10176690,CA,"1,000–10,000",180,1.8611111111111112,1.0,1.0,2.0,3.0,4.049999999999983,8.420000000000016,25.0
10176690,CA,"10,000–100,000",90,1.6888888888888889,2.0,1.0,2.0,2.0,3.549999999999997,5.109999999999999,6.0
10176690,CA,"100–1,000",240,1.5208333333333333,1.0,1.0,2.0,3.0,4.0,5.609999999999985,8.0
10176690,CA,1–100,463,1.4427645788336934,1.0,1.0,1.5,2.0,3.0,6.0,9.0
10176690,CA,">100,000",51,1.8431372549019607,2.0,1.0,2.0,2.0,3.0,7.5,10.0
10176690,EOA,0–1,2642642,1.1476117461237656,1.0,1.0,1.0,2.0,2.0,3.0,35.0
10176690,EOA,"1,000–10,000",216231,1.9099157845082342,1.0,1.0,2.0,4.0,6.0,11.0,75.0
10176690,EOA,"10,000–100,000",67259,1.809200255727858,1.0,1.0,1.0,4.0,6.0,13.0,67.0
10176690,EOA,"100–1,000",808854,1.3443810625897876,1.0,1.0,1.0,2.0,3.0,6.0,128.0
10176690,EOA,1–100,3951277,1.210407420183399,1.0,1.0,1.0,2.0,2.0,4.0,103.0
10176690,EOA,">100,000",11324,2.1192158247968917,1.0,1.0,2.0,4.0,6.0,19.0,190.0
10370274,CA,0–1,1933,1.0884635281945163,1.0,1.0,1.0,1.0,2.0,2.0,20.0
10370274,CA,"1,000–10,000",297,1.835016835016835,1.0,1.0,2.0,3.0,5.0,7.0400000000000205,25.0
10370274,CA,"10,000–100,000",232,1.5775862068965518,1.0,1.0,2.0,2.0,3.0,5.0,6.0
10370274,CA,"100–1,000",394,1.5609137055837563,1.0,1.0,2.0,3.0,4.0,6.0,8.0
10370274,CA,1–100,722,1.3822714681440442,1.0,1.0,1.0,2.0,3.0,5.0,9.0
10370274,CA,">100,000",135,1.8888888888888888,2.0,1.0,2.0,3.0,3.0,5.659999999999997,10.0
10370274,EOA,0–1,2639635,1.1483542232164674,1.0,1.0,1.0,2.0,2.0,3.0,101.0
10370274,EOA,"1,000–10,000",183545,2.1683674303304366,1.0,1.0,2.0,5.0,6.0,11.0,76.0
10370274,EOA,"10,000–100,000",67920,1.8957449941107185,1.0,1.0,2.0,4.0,6.0,13.0,68.0
10370274,EOA,"100–1,000",500457,1.5753081683341426,1.0,1.0,2.0,3.0,4.0,7.0,129.0
10370274,EOA,1–100,4215308,1.2008545994741073,1.0,1.0,1.0,2.0,2.0,4.0,49.0
10370274,EOA,">100,000",12815,2.1907140070230198,1.0,1.0,2.0,4.0,7.0,18.0,192.0
10570485,CA,0–1,2918,1.0695681973954763,1.0,1.0,1.0,1.0,2.0,2.0,20.0
10570485,CA,"1,000–10,000",483,1.6645962732919255,1.0,1.0,2.0,3.0,4.0,6.0,25.0
10570485,CA,"10,000–100,000",369,1.4823848238482384,1.0,1.0,2.0,2.0,2.599999999999966,6.0,8.0
10570485,CA,"100–1,000",553,1.5171790235081375,1.0,1.0,2.0,3.0,4.0,5.480000000000018,8.0
10570485,CA,1–100,1026,1.3352826510721247,1.0,1.0,1.0,2.0,3.0,5.0,9.0
10570485,CA,">100,000",218,1.7889908256880733,2.0,1.0,2.0,2.0,3.0,5.0,11.0
10570485,EOA,0–1,2757385,1.1363603559169286,1.0,1.0,1.0,1.0,2.0,3.0,99.0
10570485,EOA,"1,000–10,000",217469,2.183837696407304,1.0,1.0,3.0,5.0,6.0,11.0,80.0
10570485,EOA,"10,000–100,000",75492,2.101878344725269,1.0,1.0,2.0,5.0,7.0,14.0,111.0
10570485,EOA,"100–1,000",504555,1.6136575794511996,1.0,1.0,2.0,3.0,4.0,7.0,147.0
10570485,EOA,1–100,4292536,1.2006920850518201,1.0,1.0,1.0,2.0,2.0,4.0,58.0
10570485,EOA,">100,000",19549,2.0559619417873036,1.0,1.0,1.0,4.0,6.0,16.0,195.0
10771925,CA,0–1,5460,1.0421245421245422,1.0,1.0,1.0,1.0,1.0,2.0,20.0
10771925,CA,"1,000–10,000",726,1.5688705234159779,1.0,1.0,2.0,3.0,4.0,6.0,25.0
10771925,CA,"10,000–100,000",595,1.4823529411764707,1.0,1.0,2.0,2.0,3.0,6.0,8.0
10771925,CA,"100–1,000",837,1.3679808841099164,1.0,1.0,1.0,2.0,3.0,5.0,9.0
10771925,CA,1–100,1415,1.2777385159010601,1.0,1.0,1.0,2.0,3.0,5.0,8.0
10771925,CA,">100,000",472,1.625,1.5,1.0,2.0,2.0,3.0,5.2900000000000205,11.0
10771925,EOA,0–1,2786581,1.1302172806030042,1.0,1.0,1.0,1.0,2.0,3.0,99.0
10771925,EOA,"1,000–10,000",350953,1.98599242633629,1.0,1.0,2.0,4.0,6.0,10.0,187.0
10771925,EOA,"10,000–100,000",105148,2.4147772663293643,1.0,1.0,2.0,6.0,8.0,15.0,146.0
10771925,EOA,"100–1,000",744144,1.4642932013158743,1.0,1.0,1.0,3.0,4.0,7.0,129.0
10771925,EOA,1–100,4282685,1.1981478908675283,1.0,1.0,1.0,2.0,2.0,4.0,73.0
10771925,EOA,">100,000",25616,2.3631324172392256,1.0,1.0,2.0,5.0,8.0,18.0,197.0
10966874,CA,0–1,8657,1.0370798197990065,1.0,1.0,1.0,1.0,1.0,2.0,20.0
10966874,CA,"1,000–10,000",1315,1.3771863117870722,1.0,1.0,1.0,2.0,3.0,6.0,26.0
